#{"t_start": 1734581809.8197176, "env_id": "LunarLanderTargetPos"}
r,l,t
-100.0,1,10.947052
-100.0,1,10.948037
-100.0,1,10.949026
-33.360702,88,11.008089
-334.024504,118,11.088139
-100.0,1,11.089445
-229.569077,117,11.17571
-168.383485,85,11.234592
-187.637157,72,11.283974
-100.0,1,11.285339
-87.897367,103,12.21591
-342.534576,164,12.334771
-100.0,1,12.336123
-100.0,1,12.337129
-236.588106,128,12.421931
-253.32582,106,12.494339
-156.027833,104,12.56725
-100.0,1,12.568573
-43.848406,98,12.634323
-100.0,1,12.635807
-100.0,1,12.639067
-100.0,1,12.640167
-25.502184,60,12.678775
-237.550203,83,12.742143
-100.0,1,12.743603
-270.532495,90,12.804217
-100.0,1,12.80557
-100.0,1,12.806615
-100.0,1,12.807658
-100.0,1,12.808689
-620.522493,231,13.008698
-100.0,1,13.010428
-22.906133,85,13.06779
-100.0,1,13.069039
-111.014465,92,13.127898
-100.0,1,13.129211
-102.063175,98,13.192853
-107.867037,110,13.269228
-100.0,1,13.270517
-100.0,1,13.271545
-193.187476,81,13.327188
-100.0,1,13.328817
-297.431046,134,13.42368
-549.64174,216,13.595859
-250.10977,133,14.571718
-287.781791,146,14.670183
-100.0,1,14.671437
-460.870776,205,14.822875
-42.177798,105,14.895893
-161.214631,99,14.963098
-273.025873,92,15.026946
-100.0,1,15.028114
-100.0,1,15.029101
-158.825531,119,15.11562
-100.0,1,15.116825
-100.0,1,15.117855
-100.0,1,15.118859
-224.944033,147,15.21984
-361.329741,766,16.127072
-217.302044,93,16.189963
-100.0,1,16.191213
-100.0,1,16.192285
-100.0,1,16.193294
-328.459318,153,16.302591
-100.0,1,16.303861
-165.87456,218,17.361423
-251.680112,119,17.439673
-441.08446,139,17.536183
-100.0,1,17.53745
-225.918945,178,17.664295
-100.0,1,17.665512
-100.0,1,17.666532
-100.0,1,17.667538
-100.0,1,17.668528
-100.0,1,17.669499
-381.731481,119,17.752622
-283.111544,137,17.848085
-100.0,1,17.849335
-100.0,1,17.850322
-100.0,1,17.851347
-249.146558,108,17.924883
-304.244912,113,18.00331
-262.50539,155,18.117981
-100.0,1,18.11926
-275.796657,214,18.279093
-197.267753,146,18.386855
-100.0,1,18.388115
-141.019652,121,18.480225
-293.77554,216,18.657039
-174.305776,131,18.749799
-100.0,1,18.751317
-100.0,1,18.752377
-180.54591,87,19.660294
-118.044147,93,19.72549
-322.906855,142,19.828907
-223.660623,89,19.889051
-293.487688,168,20.013026
-262.851921,91,20.078972
-100.0,1,20.080363
-100.0,1,20.081386
-162.115022,57,20.119375
-5.52987,160,20.229092
-100.0,1,20.230435
-186.803096,141,20.333619
-235.82155,138,20.42928
-451.978111,103,20.49664
-383.896889,147,20.597172
-254.172578,106,20.670472
-100.0,1,20.671726
-263.261442,142,20.776371
-100.0,1,20.777599
-100.0,1,20.778587
-100.0,1,20.779625
-100.0,1,20.780572
-262.680817,135,20.876606
-100.0,1,20.877877
-100.0,1,20.878949
-100.0,1,20.880009
-257.967934,179,21.010164
-100.0,1,21.011426
-114.106876,130,21.967205
-180.787995,154,22.080835
-208.238127,150,22.187841
-100.0,1,22.189094
-234.178824,132,22.282386
-100.0,1,22.283645
-217.608869,240,22.47315
-284.360114,160,22.590016
-100.0,1,22.591357
-104.772914,137,22.688624
-105.808582,137,22.783688
-100.0,1,22.78495
-36.153464,83,22.840386
-100.0,1,22.841853
-100.0,1,22.842876
-138.037411,139,22.937091
-100.0,1,22.938396
