#{"t_start": 1737970466.9452493, "env_id": "LunarLanderTargetPos"}
r,l,t
-151.653031,92,0.839494
-101.791151,4,0.84222
-115.719008,15,0.850619
-139.519632,26,0.864955
-140.960524,42,0.887558
-103.672825,79,0.930209
-113.906694,11,0.936617
-168.231745,77,0.977569
-163.135663,111,1.036626
-71.823598,123,1.101878
-110.475651,5,1.105129
-190.607216,74,1.144667
-100.123203,4,1.147494
-103.873842,9,1.152849
-151.82546,67,1.188442
-106.35391,6,1.192666
-147.577824,64,1.228872
-110.277607,11,1.235368
-118.015937,34,1.253646
-103.382262,5,1.257057
-105.313466,6,1.260911
-264.228224,100,1.316092
-121.560691,28,1.331779
-126.592179,58,1.364092
-106.668009,112,1.425289
-101.155942,8,1.430321
-109.484152,107,1.489156
-102.197882,4,1.492289
-65.63001,125,1.558093
-119.543937,91,1.607423
-174.635342,133,1.677913
-130.632078,35,1.697901
-304.319258,119,1.76015
-60.235176,116,1.821367
-100.529917,7,1.825655
-122.155421,33,1.84318
-105.625228,6,1.847037
-213.216536,82,1.892309
-54.578007,111,2.90591
-119.382868,88,2.952212
-100.623874,4,2.954996
-107.515758,7,2.959354
-105.408825,6,2.963039
-319.680671,113,3.022362
-101.10165,65,3.056834
-98.085293,67,3.092153
-109.359173,7,3.09646
-106.099393,4,3.099457
-293.131987,130,3.168147
-103.449781,3,3.170416
-205.031652,58,3.20098
-108.506929,5,3.204448
-105.164151,65,3.238559
-103.675011,4,3.241372
-102.683049,4,3.244048
-106.318975,7,3.248283
-101.815262,4,3.250935
-111.844918,9,3.256065
-98.794023,12,3.262865
-99.610516,9,3.268121
-107.270162,6,3.271906
-107.272038,5,3.275103
-64.234917,66,3.310315
-195.249963,67,3.344958
-160.936758,71,3.381916
-116.978343,86,3.427982
-208.153434,119,3.490427
-137.082904,100,3.545456
-73.532729,78,3.586832
-104.027412,5,3.590172
-103.647947,4,3.592865
-21.120882,89,3.640173
-100.828063,4,3.643013
-59.227759,73,3.681408
-109.792962,4,3.684214
-101.65571,5,3.687475
-263.375018,104,3.742237
-371.054371,145,3.817893
-98.864332,3,3.820184
-75.102206,96,3.87058
-276.988266,129,3.938428
-115.676372,15,3.946712
-298.273544,98,4.898638
-122.161997,58,4.930162
-59.538107,67,4.965961
-101.549675,6,4.969795
-90.208879,75,5.009575
-108.262224,5,5.012833
-287.547491,94,5.061625
-118.7234,9,5.06698
-176.726756,98,5.118067
-107.232347,7,5.122376
-145.975885,92,5.170383
-119.385719,8,5.175265
-102.324684,4,5.177902
-70.118275,75,5.217872
-106.095615,7,5.222191
-109.424219,9,5.227405
-102.601135,4,5.230153
-229.971189,80,5.271988
-102.052077,3,5.274167
-143.74093,78,5.315224
-102.711542,5,5.318464
-187.282801,93,5.367519
-107.787131,16,5.376539
-234.046023,77,5.416845
-68.190179,69,5.453373
-102.963713,114,5.513093
-108.683679,11,5.519381
-214.792093,101,5.573584
-105.76187,11,5.580019
-125.329911,64,5.616112
-322.479158,94,5.666454
-66.024191,109,5.72413
-376.734485,98,5.774947
-6.007182,124,5.839887
-242.377079,106,5.894116
-308.159377,80,5.936677
-70.684015,67,6.769878
-229.675586,84,6.81512
-108.092242,5,6.818753
-100.016073,5,6.8221
-173.884693,55,6.851291
-65.54088,61,6.884172
-105.131234,6,6.888032
-77.577159,69,6.925279
-106.689,7,6.929592
-100.282478,67,6.965493
-100.593156,6,6.969365
-99.9689,126,7.036497
-99.05198,16,7.045568
-105.001975,11,7.052063
-150.100534,50,7.078587
-82.910028,88,7.125883
-59.702948,84,7.17074
-106.006823,7,7.175043
-97.421758,109,7.233362
-140.248638,91,7.282121
-114.322759,77,7.323531
-105.344604,6,7.327397
-98.711245,6,7.331173
-99.971116,6,7.334848
-98.851436,7,7.33914
-105.648538,5,7.342262
-209.789585,59,7.37335
-102.096235,8,7.378422
-128.537604,65,7.413327
-49.364706,100,7.467247
-91.152339,15,7.475708
-145.341731,70,7.512633
-90.684215,112,7.573928
-84.214485,73,7.613692
-115.016188,69,7.651426
-163.513955,65,7.686658
-225.074895,129,7.756453
-107.081556,7,7.76094
-100.810238,3,7.763155
-326.43002,114,7.824699
-98.650771,4,7.827523
-148.743121,68,8.673334
-88.214408,18,8.683813
-112.160015,70,8.722011
-94.193615,78,8.764597
-142.724483,36,8.784277
-312.533825,101,8.840299
-107.7616,5,8.843786
-52.514189,93,8.894622
-180.408517,117,8.958516
-104.219562,4,8.961397
-214.409278,88,9.00851
-252.395469,111,9.069583
-72.704046,68,9.106716
-100.390766,15,9.115526
-2.351117,121,9.181643
-70.247297,77,9.223407
-114.579036,15,9.232531
-149.975859,100,9.286925
-243.183914,146,9.366422
-361.755222,127,9.435727
-102.95714,5,9.439151
-101.486937,14,9.447277
-115.092874,87,9.495599
-75.178707,68,9.532584
-97.55548,14,9.540632
-101.098997,6,9.544538
-118.442273,32,9.561697
-235.840238,115,9.62274
-103.296016,5,9.626024
-93.218692,87,9.686156
-105.249782,79,9.73409
-222.992796,86,9.781417
-131.927475,68,10.625695
-67.613283,99,10.67848
-109.335519,132,10.748203
-21.127049,90,10.796225
-82.849247,103,10.850723
-181.802779,68,10.886397
-107.285011,5,10.889961
-635.619229,235,11.012474
-118.60973,105,11.06758
-117.017053,40,11.088703
-109.355306,5,11.09219
-107.588841,10,11.097969
-108.317828,11,11.104326
-112.777396,13,11.111677
-100.010406,19,11.12202
-99.181632,8,11.126966
33.997641,76,11.167397
-92.29776,101,11.22029
-26.856654,92,11.269198
-101.465321,131,11.337972
-104.980316,4,11.340642
-104.281982,27,11.354888
-108.797094,9,11.360357
-34.384974,87,11.405739
-110.591369,7,11.410018
-136.264014,23,11.423082
-110.001332,10,11.429098
-104.391145,7,11.433394
-105.776859,4,11.436373
-49.896276,105,11.491433
-181.457347,54,11.519852
-73.161903,143,11.596186
-101.705837,5,11.599525
-104.408863,5,11.602773
-167.921874,126,11.669405
-116.679188,66,12.506392
-96.059778,107,12.563114
-142.696146,64,12.598887
-102.925995,3,12.601501
-101.637146,6,12.605326
-111.290059,12,12.612497
-116.567731,16,12.621647
-124.757907,62,12.656451
-137.430865,130,12.728662
-104.038863,16,12.737952
-65.122824,139,12.813567
-105.258849,5,12.816941
-100.773232,18,12.827066
-55.88128,114,12.88902
-60.188281,116,12.95206
-102.665829,4,12.954965
-132.207991,84,13.000787
-90.154604,147,13.080066
-2041.449276,257,13.220614
-48.501879,93,13.270442
-101.85224,11,13.27693
-40.969661,74,13.31618
-134.678727,100,13.370328
-19.511893,129,13.436922
-67.792452,107,13.492879
-96.349483,19,13.503321
-105.004731,6,13.507196
-66.837276,125,13.577834
-73.337014,134,14.438813
-98.549254,4,14.441892
-190.740794,95,14.491351
-106.166002,5,14.494789
-104.241006,15,14.503081
-105.781785,6,14.506754
-104.879712,95,14.557096
-95.475903,128,14.62324
-49.468646,121,14.686238
-97.922308,90,14.733117
-129.556046,188,14.829941
-69.350935,89,14.876479
-132.825541,97,14.926684
-104.501709,9,14.93192
-98.762587,7,14.936075
-133.491484,107,14.991403
-104.778468,4,14.994043
-46.156155,91,15.041168
-103.000201,150,15.118582
-107.20169,6,15.122287
-108.808936,9,15.127484
-98.54858,5,15.130681
-41.792192,97,15.18103
-64.689123,143,15.25505
-102.707405,4,15.257692
-104.214784,4,15.26037
-22.460372,167,15.347187
-108.525544,5,15.350852
-102.393003,3,15.353023
-95.082132,6,15.356801
-101.846746,6,15.360597
-28.92546,115,15.420276
-98.057044,5,15.423457
-97.785765,6,15.427187
-10.537379,101,15.479674
-56.659289,131,16.339095
-101.875231,4,16.342076
-164.292177,116,16.404498
11.08083,108,16.462838
-162.089028,125,16.527765
-37.488918,140,16.605486
-29.982127,141,16.683196
-94.618247,6,16.687072
-135.019208,32,16.704457
-22.935093,117,16.766926
-188.847985,87,16.812924
-51.504643,156,16.895892
-110.241166,106,16.952105
-101.532365,4,16.95495
-103.482071,6,16.959132
-105.169657,5,16.962345
-60.593377,107,17.018752
-99.500441,124,17.084806
-105.833821,5,17.088096
-40.714272,113,17.147652
-76.492605,94,17.197753
-29.496536,155,17.279789
-56.246527,87,17.325977
-106.119224,8,17.330865
-52.837719,157,18.20761
-103.878926,6,18.211696
-85.818531,83,18.257364
-5.958303,128,18.327145
-115.114104,11,18.333722
-51.827468,143,18.412113
-97.242069,18,18.422423
-19.938758,170,18.515294
-86.064742,98,18.569426
-53.374304,105,18.625471
-36.085019,124,18.691187
-43.308127,154,18.772719
-101.091229,4,18.775566
-100.334973,4,18.778246
-117.7149,27,18.792614
-102.492482,6,18.796308
19.884864,142,18.869263
-88.530316,21,18.880647
-99.777166,9,18.885869
-102.587882,4,18.888574
-11.947647,137,18.95914
19.451332,121,19.03201
5.182927,230,19.151273
35.479638,121,19.213595
-59.663109,110,20.066586
-252.15663,175,20.159257
-103.531252,25,20.173298
-106.634078,8,20.178323
-105.052579,6,20.182179
-16.093929,114,20.242098
-42.954841,153,20.323337
-42.226953,138,20.396256
-9.008177,108,20.453784
-97.572699,29,20.469506
-152.13044,158,20.552476
-136.825336,119,20.615547
-6.848696,79,20.65754
-37.382669,142,20.732722
-101.751844,4,20.735581
-92.913909,160,20.820129
11.953381,89,20.867418
-22.811613,92,20.916548
-108.824595,9,20.921977
-174.917891,53,20.95003
-141.216195,47,20.975672
17.225562,122,21.039984
-101.879889,6,21.043849
-102.478206,7,21.048244
-124.52985,35,21.06682
-104.633997,153,21.147676
-106.348306,6,21.151608
-66.746091,124,22.025458
-98.927238,3,22.02799
-109.249326,173,22.120137
-105.758522,3,22.122392
-92.782578,178,22.216826
-96.598317,10,22.222869
-89.844248,199,22.328616
-101.779572,6,22.332596
15.321457,163,22.419201
-8.940554,117,22.484722
-102.860533,5,22.488369
8.875572,111,22.54877
-105.483332,6,22.553705
-48.599778,141,22.628959
-101.951934,4,22.631873
-107.903002,11,22.638229
-92.823447,10,22.644262
-102.085762,5,22.647631
-109.748205,18,22.657681
-135.973884,176,22.750837
-99.399033,25,22.764504
-128.80426,129,22.832981
-160.222779,136,22.904512
-10.785106,190,23.004103
-104.772383,5,23.007489
-12.657542,100,23.060237
-51.585167,124,23.933228
-102.519288,63,23.968638
-71.361946,206,24.082066
-161.29378,79,24.125429
-74.610373,136,24.201219
16.507232,175,24.297471
-99.729377,4,24.300341
14.580205,258,24.440005
-105.64354,5,24.44348
-91.39173,12,24.451332
-54.522121,124,24.518829
17.788943,132,24.588811
20.306028,134,24.658238
-105.131912,146,24.738714
-105.658631,4,24.74171
-1361.933186,28237,51.530942
-189.894022,92,51.581948
-104.303109,4,51.584843
-98.359512,5,51.588097
-101.517814,6,51.591917
-180.801681,44,51.615335
12.054104,118,51.679019
-93.888185,17,51.688622
-101.82613,6,51.692492
-37.71944,94,51.742486
-22.130875,110,51.800983
-202.920233,52,51.828799
-130.278404,89,51.875685
-99.046335,4,51.878798
-123.888161,11,51.885199
-103.373857,3,51.887408
-226.576005,83,51.931771
-180.991891,93,51.980968
-168.302031,37,52.000814
-186.532733,97,52.844552
-111.85283,10,52.850813
-107.96692,8,52.855826
-177.337102,87,52.904186
-190.824124,79,52.947138
-130.237666,93,52.996345
-103.958524,4,52.99915
-102.189265,6,53.00282
-95.248809,16,53.011591
-136.121944,101,53.065334
-33.508339,78,53.106756
-171.842918,82,53.150516
-95.482436,7,53.154926
11.600062,113,53.21421
-95.379945,8,53.219129
-102.30901,5,53.222352
-180.87695,57,53.252572
-160.849648,97,53.304388
-56.018989,96,53.355759
-116.040399,8,53.360852
-121.248944,53,53.388664
-97.907674,7,53.393278
-142.34683,105,53.448964
-142.728601,84,53.492871
-171.991853,68,53.528783
-199.898974,83,53.574252
-105.56926,7,53.578674
-96.989543,89,53.625744
-103.430215,4,53.628619
-168.797392,87,53.676596
-131.52356,80,53.719147
-169.415017,32,53.73748
-46.520383,77,53.779334
-163.050635,112,53.84007
-107.279251,8,53.84495
-113.701222,11,53.85142
-154.129047,43,53.874955
-166.287841,56,53.90508
-124.72799,82,54.753369
-136.840032,55,54.782773
-14.303924,97,54.834507
-107.456356,19,54.845587
-30.387294,98,54.897879
-103.713516,3,54.900179
-100.815026,5,54.903377
-153.231441,134,54.974943
-97.522957,10,54.981017
-73.616479,102,55.034786
-164.5148,90,55.082536
-109.236155,11,55.089364
-164.94662,85,55.134398
-172.844843,92,55.183903
-104.671804,5,55.187261
-155.422081,79,55.228905
-160.413632,83,55.273572
-113.319789,10,55.279579
-134.112926,21,55.291106
-104.040678,101,55.344519
-102.968136,5,55.347815
-38.341521,93,55.396816
-63.989822,88,55.443855
-201.206314,72,55.48233
-128.030471,99,55.534719
-101.591689,6,55.538521
-177.868631,101,55.59296
16.417961,115,55.655809
-29.393,106,55.713243
1.268885,102,55.768706
-142.075097,56,55.798859
-100.866474,5,55.802165
-84.752024,88,56.653866
-194.069054,72,56.692597
-83.161691,98,56.743739
-103.76036,3,56.74595
-105.941403,7,56.750496
-110.842841,32,56.76751
-101.467068,5,56.770974
-113.775964,96,56.821103
-121.720693,118,56.883344
-22.397276,90,56.931097
-102.327693,80,56.978756
-98.37952,6,56.982593
-143.146952,68,57.017905
-79.460182,75,57.059291
-107.713088,5,57.062502
-138.359498,38,57.082893
-108.249497,14,57.091134
-119.896957,14,57.10049
-3.046881,103,57.171885
-76.297863,111,57.230359
-40.178999,95,57.281046
-105.368869,5,57.284407
-7.468139,103,57.338235
-111.916313,13,57.345618
-17.183518,112,57.407109
-99.61795,9,57.412646
-103.872644,4,57.415433
-100.533659,5,57.418641
-30.530941,94,57.468433
-165.0812,41,57.490458
-94.235784,82,57.533631
-98.496157,4,57.53643
-108.251125,17,57.545727
-177.625643,96,57.597099
-101.649661,3,57.599496
-24.626214,95,57.649244
-127.543427,51,57.676669
-45.855424,86,57.723445
-77.328394,91,58.568501
-99.25478,5,58.572101
-97.721188,109,58.6301
-103.110844,3,58.632486
-4.177785,101,58.686698
-99.3406,5,58.690118
-93.608215,7,58.694412
-101.660621,4,58.697078
36.655024,134,58.768938
-100.021832,5,58.772501
-84.830194,105,58.82804
-133.46019,80,58.870307
-100.635583,4,58.873453
-87.735224,107,58.930098
-93.697483,6,58.933998
-100.479008,3,58.936217
-84.83908,109,58.994427
-85.598888,102,59.048496
-108.117634,8,59.05343
-21.878922,103,59.108215
-101.892915,5,59.111557
-99.337822,7,59.115866
-95.197727,116,59.177472
-107.759283,8,59.182477
-112.960231,12,59.189471
-37.241095,113,59.249431
-105.59238,7,59.253876
-19.911738,96,59.30528
-97.734944,8,59.310306
4.501953,96,59.3624
6.370439,104,59.41971
-45.806331,95,59.471882
-105.192179,4,59.474724
-103.67643,6,59.478582
-102.073439,3,59.480852
-98.713365,9,59.486282
-103.970251,5,59.489815
-104.661079,77,59.532233
-104.387162,5,59.535664
-101.827926,8,59.540637
-61.68913,101,59.595884
-103.214295,6,59.599884
-94.953651,8,59.604882
-99.806783,3,59.607189
-83.791947,86,59.653471
1.882889,89,60.503599
-104.644206,6,60.50781
-110.402878,103,60.562549
-117.463732,19,60.573786
-111.145958,11,60.58033
-81.81505,110,60.638275
