#{"t_start": 1738146777.129052, "env_id": "LunarLanderTargetPos"}
r,l,t
-96.112833,122,3.401492
-131.466917,117,5.782329
-204.856737,58,6.987932
-212.850428,75,8.530856
-192.099635,75,10.076735
-141.668593,144,13.009826
-208.654476,138,15.832351
-49.38209,81,17.497276
-63.016752,114,19.829299
-640.241509,116,22.208277
-451.405393,102,24.299923
-226.226183,157,27.498329
-91.702416,136,30.281998
-309.236233,126,32.860756
-84.652446,95,34.812684
-95.488753,99,36.843595
-168.052063,79,38.468977
-254.834215,69,39.897907
-76.762614,97,41.89005
-48.471782,81,44.509704
-318.329298,70,45.952312
-108.077447,76,47.527907
-53.589816,72,49.012615
-86.368654,81,50.681872
-230.802723,76,52.258101
