#{"t_start": 1734312558.9648366, "env_id": "LunarLander-v3"}
r,l,t
-157.217337,87,24.869817
-33.121405,95,24.930058
-60.289061,101,25.007734
-58.960537,76,25.057653
-18.84903,111,25.129143
-88.822467,133,25.216708
-68.604495,164,25.331842
-92.065073,139,26.229029
-99.870707,160,26.340116
-42.333688,124,26.425474
-20.768982,119,26.516995
-53.55892,164,26.631209
-33.930084,87,26.689323
7.684818,125,26.771695
-67.586959,141,26.867673
-72.476483,110,26.942097
-35.10823,171,27.060884
-79.856176,108,27.144324
-46.084762,153,27.249427
-39.179914,113,27.324767
-110.407148,142,27.422009
-93.192178,192,27.55564
-61.309057,200,28.479158
-60.885507,172,28.596738
-37.868483,145,28.707981
20.637987,106,28.778281
-38.765902,118,28.856494
-25.038729,114,28.932019
25.432848,175,29.050749
-30.92113,195,29.182704
79.943707,1000,31.465129
-70.329651,136,31.558158
-199.985552,152,31.674803
-82.424898,111,31.752286
13.46836,102,31.820409
5.707608,125,31.901615
20.16096,114,31.976504
-75.571068,123,32.057153
-156.209763,245,32.236969
-68.379806,136,32.340632
-13.95814,170,32.456819
-0.793422,118,32.536626
-2.632944,126,32.617899
-125.024915,152,32.727143
-14.98243,146,33.602152
-13.695691,146,33.701905
-60.119339,252,33.906428
-19.057216,133,33.996248
-23.590737,231,34.161804
-28.336409,216,34.315674
-31.534948,119,34.395354
-60.034709,237,34.591829
-36.07594,152,34.698436
-36.941645,176,34.819441
-38.61825,113,34.893858
-47.098778,279,35.91188
1.125488,140,36.007869
-23.660322,235,36.203147
-44.226206,121,36.28337
10.875607,147,36.385685
27.108466,237,36.565244
10.124794,158,36.678041
-35.931831,196,36.828813
-62.357781,169,36.944679
33.242219,123,37.025416
-52.467029,148,37.125569
7.858788,128,37.20798
-49.285252,157,37.312311
-243.675275,350,38.433011
-24.240269,219,38.60378
-31.855307,130,38.693249
-88.950472,291,38.943692
-122.193865,197,39.08728
-73.908869,266,39.317793
-27.919294,154,39.427589
-179.515012,353,39.716748
-62.120539,206,40.652675
2.200878,157,40.767867
-100.208652,356,41.100606
-49.192045,229,41.27727
-270.295708,250,41.479912
-73.023215,391,41.842049
-118.789851,161,41.957688
-99.92199,195,42.101988
-47.369862,508,43.424852
51.261401,144,43.524142
43.278752,141,43.624393
-249.611009,400,43.99534
-28.302025,204,44.155247
30.286908,163,44.270347
47.074587,200,44.416183
-95.976527,377,44.798984
-103.928019,321,45.861822
-4.95945,202,46.00717
36.450871,231,46.190165
-16.539247,248,46.382715
-64.366095,184,46.527451
60.40663,166,46.64787
-5.488544,179,46.775374
6.994113,188,46.910541
1.115742,248,47.098906
-51.849461,180,47.224823
-40.30852,128,48.11912
-99.890417,426,48.55519
-93.206924,320,48.832626
-181.044558,353,49.129971
-29.445913,116,49.207247
-124.068987,416,49.666623
-166.670809,179,49.804746
-197.496494,181,50.741946
-60.126814,212,50.900559
-28.360868,215,51.060452
74.081272,1000,52.71222
-93.254157,436,53.161886
-23.962081,1000,55.269829
-57.240403,280,55.520634
-6.547092,193,55.667905
-275.65997,471,56.156711
-85.668935,505,57.498908
-24.465204,1000,58.992287
-189.288365,748,59.993982
73.820796,1000,62.04019
-152.795317,401,62.43619
9.818036,1000,64.805398
56.45148,1000,66.133599
-89.12359,436,66.576233
-17.991514,416,67.783931
-80.520494,450,68.244031
-36.234731,304,68.510746
-91.256862,282,68.753128
-172.278446,381,69.124719
-67.478202,199,69.272513
-13.779089,368,70.386764
49.595268,1000,72.279245
-182.227074,411,72.710586
1.960551,1000,74.800565
-124.970936,607,75.573444
-121.08502,610,76.264449
-14.131015,1000,79.003936
-8.668856,424,79.397912
59.450084,1000,80.615523
69.761236,1000,82.83558
-68.129262,640,83.641765
51.267517,1000,86.217627
80.47639,735,87.434821
10.771459,1000,89.672915
174.453562,931,91.567377
62.770497,1000,94.046272
-151.580941,673,94.751268
-150.237171,576,95.408798
-105.474988,475,95.914795
-17.810072,1000,98.481491
141.224579,632,99.27986
61.323665,1000,101.266448
49.253924,1000,103.657919
14.844813,1000,106.161309
-41.649295,1000,108.122887
113.341101,815,110.10718
52.016629,1000,111.856599
-107.412274,653,112.758891
-18.985648,1000,115.200968
20.599335,1000,117.027821
-143.352691,951,119.11113
103.360334,1000,120.56888
-64.775135,610,122.128803
33.99298,1000,124.181881
54.402492,1000,126.483256
66.473399,1000,128.606732
91.872112,1000,131.302533
116.275566,705,132.41721
-4.330651,1000,134.2127
-67.658052,727,135.859833
86.737562,1000,137.926049
101.578866,1000,139.843506
-14.454006,451,140.342828
114.36628,1000,142.19998
139.026847,1000,144.564494
-42.388466,362,144.976644
97.889542,1000,147.702812
102.208297,1000,149.311288
130.751006,1000,151.289999
108.942031,1000,153.286119
105.187053,1000,155.49365
91.620825,1000,157.109985
109.415927,1000,158.634379
74.404072,1000,161.130924
-39.72065,562,161.772921
83.479166,1000,164.119208
120.646515,1000,165.328967
88.372662,1000,168.384161
101.027703,1000,169.675845
135.013667,1000,172.065573
58.665372,1000,173.786767
150.349095,725,175.588468
227.708523,396,176.002094
217.121313,679,176.927225
97.926548,1000,179.220814
138.725757,847,180.562133
154.60515,920,181.906815
220.704882,561,183.623552
211.709175,578,184.340048
78.501783,1000,185.528814
178.133907,584,187.102734
120.84737,855,188.586447
7.700627,328,188.852072
133.295366,1000,190.650738
227.717448,444,191.215084
14.653856,246,191.416597
183.19151,630,192.132913
197.091475,575,193.788195
190.539541,561,194.507092
202.561984,537,195.327885
198.872834,545,196.797254
-14.403184,270,197.033636
211.773189,546,197.768922
-104.686562,802,198.961073
217.552848,459,200.300467
19.008937,170,200.422564
-52.575371,304,200.689356
263.43512,286,200.920174
246.166356,289,201.165392
-47.363977,256,201.376738
74.535237,1000,203.815647
153.84718,724,204.742363
226.956096,473,205.314308
138.177925,1000,207.690307
237.348805,309,207.964729
-47.506449,618,208.71511
182.725164,428,209.091408
184.256577,477,210.40674
202.30701,479,210.94963
205.188042,617,211.882538
222.280783,549,212.495957
188.891569,708,214.267717
185.124955,427,214.769425
212.749001,596,215.509691
177.871161,699,217.191365
207.330526,499,217.76115
213.18054,369,218.124806
68.210252,1000,220.344465
-18.710568,231,220.520734
215.322526,424,220.961035
198.138941,384,221.327399
250.130182,454,221.841885
228.98706,348,222.189287
256.79926,392,223.421329
-61.986554,333,223.74974
226.094707,684,224.772478
242.273448,487,225.404772
231.530792,555,226.943152
248.273828,408,227.365355
-32.653068,225,227.540191
239.772304,453,228.111126
174.901947,443,228.602697
92.364987,1000,231.048774
228.306544,342,231.357411
233.267474,297,231.63248
-59.74374,258,231.853174
210.067913,458,233.17415
191.737367,442,233.566251
-26.037198,248,233.765881
175.450338,410,234.202418
259.115111,458,234.71893
221.192216,393,235.11517
-11.846033,242,236.089818
174.236205,569,236.66121
-42.508279,263,236.893303
58.801593,1000,239.144492
218.335109,408,239.552703
-66.215991,467,240.007363
201.272418,426,240.479402
-75.039038,303,240.765849
17.706157,237,240.946917
-40.456224,287,241.988424
-147.435054,846,242.905654
214.759122,435,243.384866
212.906134,568,244.074246
-35.030147,415,245.254844
-41.712311,392,245.697741
137.51626,1000,247.355224
1.974876,266,247.569964
-34.697507,278,248.596729
220.468792,409,249.095097
218.477131,503,249.780835
232.228235,426,250.23322
227.440585,373,250.583374
-49.153911,213,251.549597
-31.808879,350,251.881471
-4.428469,361,252.229625
259.666882,379,252.636526
234.541425,332,252.937495
228.80548,482,253.362143
-2.486279,222,254.326559
237.530625,491,254.91425
218.473764,428,255.405622
-16.069764,243,255.598698
227.167646,378,255.98241
236.446302,306,256.25464
247.280512,303,257.333156
11.264088,209,257.489114
251.166373,370,257.874999
241.624618,334,258.184525
-31.616855,271,258.424425
-36.746026,225,258.601842
24.664595,187,258.739738
217.284337,330,259.867205
245.655562,675,260.821179
16.396873,235,261.011229
-10.120238,187,261.158081
-63.767809,385,261.534472
244.118729,312,261.801891
9.902492,277,262.828856
228.484682,357,263.173116
-21.891378,192,263.312365
250.749809,333,263.611107
244.989876,394,263.999285
226.985534,388,264.380289
-44.737816,224,264.556178
240.290626,414,265.795409
-94.286713,395,266.191523
-52.729525,468,266.728536
221.567774,486,267.182373
277.494951,523,268.401174
229.469323,878,269.480395
-3.031988,272,269.695713
-38.723863,443,270.189387
-74.699967,538,271.748025
-158.147551,891,273.078503
187.035898,664,274.227103
235.437103,409,275.425178
110.292253,1000,276.683553
32.017272,246,276.873536
-75.87507,521,277.470181
