#{"t_start": 1737969936.3130798, "env_id": "LunarLanderTargetPos"}
r,l,t
-179.527399,83,0.811
-139.637618,112,0.873657
-160.223651,73,0.912658
-96.244242,55,0.943224
-140.418864,90,0.993012
-160.223559,83,1.037159
-69.84997,76,1.079591
-137.083392,128,1.147045
-104.157982,79,1.192238
-381.343509,91,1.242274
-147.333764,57,1.277602
-127.799976,80,1.338155
-130.399354,55,1.368619
-81.344945,57,1.402384
-171.009171,75,1.442995
-330.542871,106,1.502792
-231.407044,101,1.55747
-117.587652,86,1.606259
-209.679471,107,1.663958
-131.577536,105,1.722466
-229.867611,66,1.757932
-436.240512,120,1.82453
-218.369047,74,1.864966
-172.355482,104,2.916679
-177.022068,111,2.974563
-168.492974,80,3.018131
-194.943138,84,3.062539
-215.195211,58,3.092922
-104.080808,78,3.136341
-70.042781,103,3.191829
-201.270945,71,3.231898
-205.764626,135,3.304834
-74.948379,81,3.350732
-242.035444,107,3.408198
-175.650883,108,3.474394
-115.286363,75,3.515631
-187.986128,57,3.548487
-64.184371,72,3.588363
-145.329761,125,3.657272
-162.085077,77,3.699362
-140.606435,89,3.749821
-99.283892,100,3.803791
-321.1049,75,3.846155
-298.547861,100,3.899556
-240.554921,98,3.952615
-202.665853,59,3.989378
-508.383495,119,4.966078
-55.726488,61,5.000034
-92.377763,75,5.041142
-62.077561,63,5.078166
-171.33245,63,5.112966
-88.69867,86,5.161965
-208.113796,142,5.237044
-74.31861,77,5.280574
-163.277157,73,5.319409
-140.445233,77,5.359794
-207.519066,53,5.39011
-114.270474,91,5.438018
-90.258051,88,5.49418
-306.498895,98,5.545975
-109.526107,104,5.603287
-37.478221,160,5.688917
-76.487577,56,5.719029
-68.547216,58,5.749899
-104.963915,93,5.801371
-115.201415,64,5.83483
-45.881886,58,5.86733
-219.956947,55,5.898622
-85.786893,99,5.9505
-187.743631,75,5.992406
-212.729938,55,6.027418
-73.363025,76,6.067386
-74.045884,87,6.930841
-114.662815,56,6.961042
-447.075692,121,7.02774
-183.008667,256,7.167479
-228.406387,69,7.207279
-319.356385,113,7.267865
-144.519218,99,7.324311
-367.367561,122,7.396499
-67.741549,94,7.448329
-150.879607,112,7.508911
-174.519917,57,7.538847
-236.486862,85,7.583261
-194.79243,60,7.617648
-136.908513,94,7.666089
-215.386751,128,7.735114
-40.034376,76,7.774488
-61.921374,83,7.82288
-190.625547,62,7.856054
-341.128997,89,7.904309
-177.252182,93,7.962129
-63.482458,92,8.011689
-170.372092,66,8.862495
-165.71578,95,8.912311
-88.494182,59,8.946858
-873.235322,143,9.022878
-242.951434,166,9.113107
-116.238332,107,9.172955
-172.267539,128,9.24309
-57.068445,99,9.305901
-167.032132,124,9.376421
-102.87361,92,9.425838
-349.712149,187,9.528085
-110.512457,64,9.56494
-191.786809,98,9.616536
-53.615921,90,9.66754
-149.072453,151,9.749511
-96.95838,111,9.811584
-77.293168,75,9.860408
-301.426614,99,9.913578
-273.163987,78,9.956275
-384.772955,106,10.855981
-70.740509,71,10.896745
-170.424388,60,10.929293
-208.517426,86,10.975166
-84.450559,80,11.022835
-292.997912,152,11.108103
-207.616755,56,11.138368
-88.911754,151,11.221645
-126.282006,63,11.263294
-13.774249,86,11.313483
-147.404062,70,11.35166
-114.341314,90,11.402211
-400.146431,109,11.459812
-188.156351,77,11.503038
-52.950331,88,11.550908
-240.763012,208,11.663304
-30.261909,52,11.69164
-149.627932,111,11.754165
-341.019353,141,11.837062
-119.41307,74,11.875905
-114.191975,76,11.919161
-153.732702,54,11.94866
-169.091288,81,12.835848
-25.419737,82,12.880107
-153.412953,62,12.913136
-296.143449,100,12.969218
-40.269295,157,13.056111
-54.45379,107,13.114248
-136.981296,69,13.155855
-96.691031,109,13.221419
-31.462864,79,13.265896
-298.252555,93,13.316789
-113.322328,153,13.402939
-288.416183,88,13.453063
-186.512682,112,13.513299
-200.384916,136,13.588971
-53.468088,56,13.619898
-160.918544,59,13.654091
-68.310389,221,13.781143
-21.712813,93,13.830007
-120.243937,118,13.894028
-123.775157,79,13.935828
-33.376245,71,14.797506
-153.232037,76,14.83739
-314.86784,133,14.909878
-253.563103,109,14.969381
-131.34533,116,15.034693
-1863.9715,266,15.185983
-253.998439,173,15.279594
-503.061681,168,15.371092
-640.443335,219,15.489082
-277.94563,261,15.635902
-187.889525,54,15.665086
-383.444977,140,15.748917
-69.545135,157,15.834117
-224.575096,138,16.747033
-40.839461,79,16.7896
-162.291638,138,16.865306
-341.308909,148,16.945757
-242.144231,59,16.977121
-36.318333,54,17.006797
-30.362076,113,17.070499
-272.956126,103,17.132073
-191.493741,156,17.218925
-90.18939,118,17.285738
-69.688319,92,17.335326
-44.834629,141,17.411485
-62.037638,111,17.471503
-308.687379,143,17.546463
-327.671618,218,17.669521
-35.633088,171,17.760645
-237.958234,69,17.79636
-135.373013,75,17.835565
