#{"t_start": 1737980080.6667604, "env_id": "LunarLanderTargetPos"}
r,l,t
-325.230557,122,10.914446
-57.477236,94,10.964893
-170.012601,89,11.012934
-311.261754,125,11.079434
-139.813351,118,11.142304
-281.154334,122,11.20702
-100.0,1,11.208116
-100.0,1,11.209123
-100.0,1,11.210113
-252.28536,119,11.273924
-100.0,1,11.274974
-49.363899,76,11.315466
-61.767409,159,11.399756
-194.056153,79,11.441736
-256.169857,93,11.49186
-31.091105,87,11.538323
-100.0,1,11.539394
-100.0,1,11.540369
-100.0,1,11.541353
-32.575158,83,11.585774
-100.0,1,11.586841
-100.0,1,11.587829
-100.0,1,11.588799
-65.245972,105,11.644663
-100.0,1,11.645951
-100.0,1,11.646948
-110.330455,140,12.519647
-100.0,1,12.520797
-25.987935,166,12.607056
-100.0,1,12.60816
-137.405824,156,12.689326
-51.53245,72,12.72708
-100.0,1,12.728146
-100.0,1,12.72912
-97.045059,118,12.790455
-100.0,1,12.791517
-26.218375,133,12.860225
-100.0,1,12.861276
-100.0,1,12.862247
-100.0,1,12.863197
-100.0,1,12.864126
-169.318944,117,12.925332
-100.0,1,12.926372
-100.0,1,12.927598
-299.287938,104,12.983141
-71.469574,141,13.057831
-100.0,1,13.058913
-100.0,1,13.059891
-100.0,1,13.060868
-181.680073,115,13.121598
-100.0,1,13.122624
-69.255069,85,13.167634
-100.0,1,13.16867
-84.08192,62,13.201824
-100.0,1,13.202881
-24.700278,101,13.256831
-89.32226,91,13.305323
-108.95228,75,13.345279
-57.298897,153,13.42627
-100.0,1,13.427354
-153.706864,95,13.477398
-100.0,1,13.478609
-107.343836,84,13.523044
-154.71254,75,13.563067
-105.692829,107,14.411815
-220.088873,97,14.464785
-100.0,1,14.465931
-100.0,1,14.466944
-420.817017,139,14.54244
-100.0,1,14.543661
-242.766027,109,14.602513
-109.287791,89,14.649819
-75.301779,153,14.731848
-172.451752,168,14.821605
-100.0,1,14.82271
29.857645,101,14.877203
-100.0,1,14.878294
-100.0,1,14.879281
-253.74302,124,14.945121
-100.0,1,14.946237
-100.0,1,14.947226
-100.0,1,14.948267
-100.0,1,14.949241
-146.312547,122,15.014757
-100.0,1,15.015823
-100.0,1,15.016801
-76.439721,79,15.059232
-100.0,1,15.060295
-179.156131,133,15.131265
-201.135226,109,15.189975
-277.628094,179,15.285985
-100.0,1,15.287092
-100.0,1,15.28811
-100.0,1,15.289091
-100.0,1,15.29007
-274.170287,158,15.374481
-59.671213,95,15.424944
-146.317047,107,15.482177
-508.352921,18841,33.948049
-79.03167,107,34.005139
-105.732074,43,34.028316
-394.907976,135,34.099443
-100.0,1,34.100526
-95.772411,136,34.17212
-100.0,1,34.173163
-100.0,1,34.17414
-66.170779,186,34.271483
-203.347531,102,34.325146
-171.068579,165,34.411048
-100.0,1,34.412123
-100.0,1,34.413111
-100.0,1,34.414086
-277.20047,156,34.496136
-100.0,1,34.497291
-100.0,1,34.498341
-100.0,1,34.499333
37.61279,143,34.57612
-112.920627,72,34.615326
-123.856721,86,34.66357
-100.0,1,34.664952
-100.0,1,34.666024
-100.0,1,34.667016
-35.410806,200,34.775062
-119.934787,135,35.651203
-100.0,1,35.652603
-329.656029,129,35.721382
-170.019542,105,35.777985
-76.551446,111,35.839767
-100.0,1,35.840867
-100.0,1,35.841922
-79.265076,140,35.917594
-39.531776,115,35.980938
-250.786664,126,36.047481
-100.0,1,36.048548
-100.0,1,36.049556
-100.0,1,36.050531
-281.519922,158,36.133497
-100.0,1,36.134554
-100.0,1,36.135836
-100.0,1,36.136804
-100.0,1,36.137746
-247.693315,172,36.227958
-73.194393,103,36.282381
-273.513245,112,36.341427
-100.0,1,36.34249
-100.0,1,36.343479
-100.0,1,36.344446
-26.159503,118,36.405761
-100.0,1,36.406805
-100.0,1,36.407796
-100.0,1,36.408757
-100.0,1,36.409722
-100.0,1,36.410685
-100.0,1,36.411688
-99.14485,158,36.494157
-100.0,1,36.495163
-100.0,1,36.49613
-48.800234,95,36.546113
-46.866818,206,36.654503
-85.204347,156,36.735562
-233.889201,180,37.623061
-100.0,1,37.624282
-100.0,1,37.625313
-79.62637,125,37.69163
-250.058885,179,37.786298
-100.0,1,37.787338
-238.344087,142,37.863485
-100.0,1,37.864605
-100.0,1,37.865618
-228.668023,96,37.915852
-100.0,1,37.917076
-100.0,1,37.91809
-92.596309,117,37.980055
-260.693678,131,38.049085
-270.255261,175,38.145418
-100.0,1,38.146498
-102.623997,129,38.214473
-100.0,1,38.215476
-217.612456,129,38.283307
-100.0,1,38.284352
-100.0,1,38.285319
-100.0,1,38.28626
-100.0,1,38.287245
-142.888819,158,38.370294
-100.0,1,38.371344
-101.752557,110,38.42894
-119.046292,162,38.513939
-135.827367,102,38.567704
-100.0,1,38.568733
-228.546249,168,39.44615
-115.18946,220,39.560346
-100.0,1,39.561509
-125.189926,163,39.645464
-79.182892,92,39.69342
-120.311024,110,39.750307
-158.287729,64,39.783222
-100.0,1,39.784374
-263.424503,171,39.875738
-135.753482,173,39.967131
-105.060582,28,39.98224
-100.0,1,39.98335
-196.962143,169,40.071748
-100.0,1,40.072833
-133.49146,31,40.089314
-100.0,1,40.090373
-100.0,1,40.091338
-99.745633,9,40.096481
-100.0,1,40.097525
-116.279846,38,40.117532
-100.0,1,40.118618
-283.571073,134,40.188969
-100.0,1,40.190066
-100.0,1,40.191042
-118.712403,87,40.23645
-100.0,1,40.237736
-199.266736,176,40.331292
-263.335604,183,40.427107
-100.0,1,40.428179
-100.0,1,40.429177
-109.86072,165,41.301275
-154.478245,214,41.414821
-34.687133,133,41.486042
-100.0,1,41.487138
-100.0,1,41.488173
-99.538724,129,41.556946
-100.0,1,41.558086
-100.0,1,41.559097
-100.0,1,41.560042
-100.0,1,41.561018
-100.0,1,41.561969
-100.0,1,41.562963
-100.0,1,41.563903
-183.79816,167,41.652074
-100.0,1,41.653194
-159.528001,171,41.743742
-360.637488,184,41.841111
-93.093895,114,41.902997
-100.0,1,41.904122
-276.738389,169,41.992822
-100.0,1,41.993948
-100.0,1,41.994957
-105.21499,168,42.082224
-100.0,1,42.083322
-128.094205,58,42.113251
-100.0,1,42.114403
-100.0,1,42.115368
-377.560063,159,42.19824
-160.540917,114,42.257785
-100.0,1,42.258862
-100.0,1,42.25983
-79.733059,96,42.30946
-100.0,1,42.310493
-5.730517,158,43.1793
-5.531147,158,43.266062
-36.151906,154,43.349788
-69.565224,119,43.414699
-163.467512,90,43.463501
-301.718627,259,43.602038
-100.0,1,43.603149
-130.187429,141,43.677723
-65.576908,109,43.735249
-75.643497,135,43.805446
-100.0,1,43.806487
-100.0,1,43.807476
-100.0,1,43.808422
-51.820188,162,43.892408
-100.0,1,43.893469
-109.230627,213,44.003245
-152.739255,130,44.070751
-100.0,1,44.071791
-100.0,1,44.072776
-149.529656,119,44.134441
-204.733691,155,44.21487
-100.0,1,44.215896
-93.01605,203,45.101043
-137.584669,155,45.182317
-100.0,1,45.183417
-235.612576,109,45.240452
-128.841229,187,45.337806
-71.328754,183,45.432753
-100.0,1,45.433826
-63.511272,172,45.523387
-94.28331,150,45.60494
-100.0,1,45.606091
-100.0,1,45.607128
-100.0,1,45.60815
-120.995462,80,45.651888
-100.0,1,45.652971
-100.0,1,45.653985
-100.0,1,45.654976
-100.0,1,45.655932
-100.0,1,45.656957
-125.058273,156,45.742143
-100.0,1,45.743247
-131.246886,99,45.796302
-100.0,1,45.797555
-100.0,1,45.798551
-115.589142,179,45.894428
-214.5996,108,45.951742
-100.0,1,45.952985
-104.901406,101,46.009339
-100.0,1,46.010448
-34.627944,145,46.088372
-100.0,1,46.089423
-100.0,1,46.090441
-132.404302,106,46.95411
-100.0,1,46.955426
-129.578913,169,47.048276
-165.396366,148,47.12711
-130.789262,164,47.21286
-244.107289,213,47.324574
-100.0,1,47.325718
-115.592526,165,47.416445
-100.0,1,47.417549
-110.02413,205,47.524467
-100.0,1,47.525574
-100.0,1,47.526574
-75.205195,165,47.613098
1.109341,217,47.726144
-100.0,1,47.727248
-100.0,1,47.728254
-96.296007,175,47.822039
-100.0,1,47.823042
-103.97489,129,47.891654
-80.014379,234,48.01381
-225.439187,186,48.896055
-100.0,1,48.897231
-1.76434,216,49.010737
-100.0,1,49.011871
-67.192914,157,49.093913
-100.0,1,49.094987
-83.912781,197,49.197849
-55.116053,118,49.260032
-96.624455,108,49.316599
-13.456041,139,49.389145
-80.257547,149,49.466924
-164.677194,198,49.570648
-177.381168,190,49.67174
-259.884925,128,49.742448
-234.462701,143,49.818698
-98.65133,193,50.707674
-100.0,1,50.708995
-56.82933,151,50.787204
-100.0,1,50.788263
-100.0,1,50.789258
-102.875954,28,50.803963
-100.0,1,50.805027
-96.252809,139,50.880599
-100.0,1,50.881731
-100.0,1,50.882747
-100.0,1,50.88374
-40.083652,158,50.968674
-65.003323,177,51.064522
-100.0,1,51.065666
-100.0,1,51.066694
-100.0,1,51.067696
-100.0,1,51.068671
-200.648772,176,51.163459
-100.0,1,51.164567
-100.0,1,51.165578
-100.0,1,51.166557
-267.38138,207,51.278161
-100.0,1,51.279315
-100.0,1,51.280354
-100.0,1,51.281339
-210.808521,173,51.37473
38.976259,156,51.458938
-221.311728,113,51.520124
-214.92126,183,51.618718
-181.993667,191,51.721903
-100.0,1,51.723046
-230.756515,225,52.638606
-100.0,1,52.639886
-104.508187,205,52.749096
19.777251,181,52.846592
-100.0,1,52.847761
-100.0,1,52.848816
-57.175009,121,52.913443
-303.878616,129,52.982105
-100.0,1,52.983248
-100.0,1,52.984208
225.69177,3431,56.434817
-29.621077,203,56.543658
-100.0,1,56.544782
-74.103661,142,56.622372
-80.656343,156,56.706909
-100.0,1,56.708044
-100.0,1,56.709097
-70.025042,152,56.801726
-100.0,1,56.802812
-143.962226,119,56.867035
-188.722806,199,56.971544
-100.0,1,56.972688
-100.0,1,56.973716
-52.971982,176,57.065822
-233.680214,271,57.206592
-100.0,1,57.207646
-100.0,1,57.208596
-16.040874,182,57.303156
-40.505352,289,57.45368
-100.0,1,57.454784
-109.824721,47,57.479349
-100.0,1,57.480454
173.631279,7191,64.62682
-123.197903,29,64.643875
-37.197619,163,64.729502
-96.845848,236,64.855067
-183.475395,239,64.984882
-58.95058,180,65.081333
-210.084878,244,66.002165
-219.864552,234,66.124875
-182.387906,155,66.215514
-100.0,1,66.216593
-100.0,1,66.217614
-152.789086,188,66.315693
-100.0,1,66.316785
-362.650023,235,66.438676
-76.393704,240,66.563919
244.023122,516,66.836734
-209.695109,200,66.94263
-100.0,1,66.944026
-100.0,1,66.945043
-165.869512,245,67.864948
-100.0,1,67.866142
-19.20298,181,67.960236
-221.689628,278,68.107882
-98.383434,194,68.211751
-100.0,1,68.212961
-129.46849,314,68.377221
-248.943832,227,68.495885
-100.0,1,68.497047
-100.0,1,68.498085
-229.398496,317,68.663804
-100.0,1,68.664943
-100.478087,241,68.790854
-100.0,1,68.791987
-64.498763,216,68.90448
-14.071705,242,69.834169
-42.503325,227,69.95702
181.474964,1242,70.636598
-8.259442,217,70.754318
-193.220281,153,71.625991
-174.49023,187,71.725852
264.034133,723,72.120835
-100.0,1,72.122153
-168.239563,191,72.225209
-100.0,1,72.226377
-157.673332,248,72.363761
-100.0,1,72.365111
-100.0,1,72.366178
-100.0,1,72.367195
-100.0,1,72.368192
-161.002778,190,72.471885
-66.469423,370,72.671362
-100.0,1,72.672551
-100.0,1,72.673601
10.873444,256,73.701403
-100.0,1,73.702592
-100.0,1,73.703617
-100.0,1,73.704605
-100.0,1,73.705624
-142.462252,186,73.8052
-284.837098,197,73.912006
-100.0,1,73.913159
-68.610476,155,73.997056
-125.541438,272,74.145552
215.098237,1039,74.70602
-61.557611,195,75.610983
-100.0,1,75.612164
-100.0,1,75.613209
-97.949121,323,75.784319
-2.240748,219,75.902835
-100.0,1,75.904136
-223.73349,220,76.018618
-100.0,1,76.019726
-104.471211,175,76.110088
-100.0,1,76.111108
-100.0,1,76.112069
-248.462806,265,76.248537
-100.0,1,76.249672
9.58285,205,76.355234
-100.0,1,76.356271
-93.202504,198,76.458045
16.672947,542,77.540262
-100.0,1,77.541499
-75.635799,259,77.68152
-100.0,1,77.682663
-100.0,1,77.683687
-100.0,1,77.684666
-100.0,1,77.685676
0.883227,167,77.776257
-100.0,1,77.777348
-80.791492,222,77.8962
-100.0,1,77.897366
-15.87935,262,78.040725
-100.0,1,78.041962
-100.0,1,78.043018
-100.0,1,78.044
-100.0,1,78.045005
-100.0,1,78.045994
-14.657317,203,78.155071
-100.0,1,78.156115
-63.714749,293,78.313443
-100.0,1,78.314544
-100.0,1,78.315557
-169.811421,246,78.447762
-118.080352,224,79.35778
4.061383,264,79.496201
-100.0,1,79.497424
-150.883085,199,79.602219
-100.0,1,79.603442
-61.24364,2343,81.689401
-95.288056,224,81.80882
-23.06352,395,82.01605
-100.0,1,82.01722
263.340425,786,83.234384
-13.889317,212,83.346005
-100.0,1,83.347171
211.130483,1052,83.910135
-41.611295,241,84.037504
252.033377,627,85.175043
-100.0,1,85.176358
-152.230656,161,85.26258
-100.0,1,85.263745
-100.0,1,85.264824
-103.980263,69,85.301515
-100.0,1,85.302709
-100.0,1,85.303697
-100.0,1,85.304678
-100.0,1,85.305686
-84.84505,210,85.417128
-21.78343,286,85.568886
-62.270483,241,85.699985
291.29972,527,85.984201
54.381013,222,86.101436
286.398981,439,87.118223
-100.0,1,87.119455
200.624051,680,87.477846
227.583777,425,87.704741
-100.0,1,87.705998
-100.0,1,87.707046
-100.0,1,87.708065
-100.0,1,87.70904
11.974133,302,87.871279
-100.0,1,87.872441
-100.0,1,87.873468
-100.0,1,87.87446
-80.10583,175,87.96864
-100.0,1,87.969769
-58.509173,292,88.915494
-41.110309,292,89.067373
-100.0,1,89.068561
-15.400766,261,89.204386
-100.0,1,89.205549
-57.348357,303,89.364981
251.224343,701,89.735827
254.225995,502,90.809919
-42.942304,255,90.94834
-48.298525,308,91.110386
-50.500142,249,91.239865
-17.487743,263,91.375866
-100.0,1,91.377023
-100.0,1,91.37806
-15.556911,204,91.484127
272.321523,392,91.690733
237.11523,491,92.734208
-37.267842,277,92.885196
-95.158615,669,93.256007
-100.0,1,93.257454
-18.83447,258,93.396217
-100.0,1,93.397447
3.597932,275,93.552458
-81.006209,362,94.525492
-83.04011,410,94.745201
-100.0,1,94.746394
-17.820577,306,94.905723
-100.0,1,94.906836
180.981083,821,95.339547
-100.0,1,95.340831
39.871866,246,95.470901
-30.518293,292,96.415091
-263.034146,633,96.743096
41.710861,254,96.875407
-184.682524,434,97.100669
-100.0,1,97.101877
-100.0,1,97.102901
244.837587,587,98.213655
180.081821,720,98.604513
-100.0,1,98.605807
-100.0,1,98.606871
-0.837964,299,98.767764
-100.0,1,98.769054
-100.0,1,98.770146
-100.0,1,98.771147
242.506101,918,99.267131
-100.0,1,99.268442
16.056976,348,100.2362
210.058359,756,100.632741
-117.709279,1044,101.984125
57.402067,267,102.12449
-100.0,1,102.125721
-100.0,1,102.126741
231.747923,590,102.436024
205.715495,709,102.816332
23.1631,318,102.989407
-9.513533,246,103.908769
-16.335332,253,104.041788
-100.0,1,104.042974
-100.0,1,104.044009
208.209518,501,104.307472
-9.993525,289,104.459214
211.24703,498,104.719825
-75.493688,589,105.806403
-100.0,1,105.80764
-53.900354,448,106.038521
-100.0,1,106.039724
-100.0,1,106.040742
-100.0,1,106.041863
185.655858,496,106.298535
-100.0,1,106.299749
232.195106,742,106.685819
209.121984,517,107.76496
-100.0,1,107.766352
-100.0,1,107.767424
215.370105,580,108.074729
247.074004,501,108.339471
-100.0,1,108.340721
197.288788,776,109.560047
-380.632145,1643,110.425576
248.359809,469,111.476537
27.142784,314,111.644906
-100.0,1,111.64607
-100.0,1,111.647384
-100.0,1,111.648481
-100.0,1,111.649545
-100.0,1,111.650553
-97.156882,360,111.842005
-100.0,1,111.8432
241.680534,533,112.146698
-100.0,1,112.147916
237.546663,476,112.408879
-100.0,1,112.410111
201.901055,586,113.527002
240.400302,766,113.947923
248.934494,524,114.234647
-100.0,1,114.235832
-100.0,1,114.236889
260.201006,406,115.265321
292.332124,453,115.506037
-100.0,1,115.507642
-32.017291,331,115.684222
229.910954,699,116.062477
224.858148,414,116.27986
218.28504,683,117.433857
-100.0,1,117.435043
258.08424,572,117.739771
238.4729,524,118.02182
-100.0,1,118.022994
215.428242,584,119.122069
-100.0,1,119.123371
-100.0,1,119.124406
-100.0,1,119.1254
258.908847,508,119.393461
-100.0,1,119.394727
-100.0,1,119.395756
-100.0,1,119.396709
-100.0,1,119.397695
-100.0,1,119.398656
-100.0,1,119.399623
239.614633,471,119.648433
-100.0,1,119.649642
249.734698,425,119.878818
3.351128,278,120.02869
281.512628,356,121.00907
238.220484,488,121.266485
238.959951,368,121.467782
40.079894,301,121.624651
9.934832,311,121.794307
-31.911049,202,121.901609
-100.0,1,121.90271
269.84439,380,122.916528
-100.0,1,122.91792
-100.0,1,122.918965
-100.0,1,122.919978
220.086065,415,123.137474
-100.0,1,123.138695
267.95911,504,123.405948
-100.0,1,123.407198
-100.0,1,123.40823
-100.0,1,123.409204
269.273837,341,123.587183
-100.0,1,123.588415
-100.0,1,123.589444
235.384413,398,123.80364
-100.0,1,123.804929
17.311143,343,124.77238
-100.0,1,124.773759
-100.0,1,124.774889
257.602217,403,124.994195
-38.874031,256,125.129858
263.782491,537,125.415663
-100.0,1,125.416868
227.910116,610,126.526143
-100.0,1,126.527342
234.925163,439,126.758888
-100.0,1,126.760117
230.683128,426,126.985274
-100.0,1,126.986531
-100.0,1,126.987602
-100.0,1,126.988605
-100.0,1,126.989612
-100.0,1,126.990681
-100.0,1,126.991648
-3.417638,289,127.147072
12.934326,314,127.316187
2.649704,319,127.48792
243.49587,596,128.607498
-100.0,1,128.608737
-100.0,1,128.609819
-100.0,1,128.610827
-100.0,1,128.611805
-100.0,1,128.612746
214.895412,580,128.930649
-100.0,1,128.932148
-100.0,1,128.933203
162.308329,1044,129.515201
-100.0,1,129.516743
-100.0,1,129.517825
222.809075,529,130.606649
-100.0,1,130.607903
-100.0,1,130.608936
-100.0,1,130.609922
-100.0,1,130.610893
