#{"t_start": 1738145169.4616046, "env_id": "LunarLanderTargetPos"}
r,l,t
-23.68598,64,2.269339
-211.234309,126,4.84369
-288.648897,135,7.606144
-8.631266,119,10.040965
-60.18466,76,11.607623
-97.60706,68,13.013844
-391.775938,102,15.108907
-91.570038,52,16.195515
-67.053123,67,17.584659
-92.953776,100,19.652656
-187.585368,102,21.738776
-120.280588,77,23.325183
-351.103594,84,25.058774
-91.190901,58,26.259921
-232.760112,83,27.969676
-115.464199,74,29.497347
-187.371067,91,31.363375
-123.04434,70,32.821079
-252.509965,76,34.388918
-105.476669,125,36.952214
-124.333675,149,39.987029
-103.374737,60,41.230686
-164.900544,99,44.141575
-180.235637,117,46.540066
-190.221906,59,47.764083
-269.777403,95,49.718106
-213.738162,82,51.412855
-228.321451,81,53.080046
-41.98065,106,55.250071
-98.722626,124,57.779684
-138.978865,99,59.809554
-32.967379,104,61.945009
-157.009588,69,63.367042
-91.464172,62,64.650951
-205.367955,69,66.087216
-90.520746,67,67.472906
-134.544206,106,69.652931
-197.656473,97,71.642258
