#{"t_start": 1737974279.51863, "env_id": "LunarLanderTargetPos"}
r,l,t
-270.117521,102,0.779293
-60.052812,101,0.835494
-238.396173,73,0.87495
-284.326223,92,0.925567
-295.055087,76,0.967058
-58.489913,116,1.030844
-236.245042,61,1.064455
-91.333437,63,1.098774
-251.249291,66,1.13505
-195.038008,133,1.206734
-235.536884,138,1.280573
-242.255995,76,1.321392
-170.820636,86,1.369069
-84.138287,134,1.441698
-78.928041,65,1.476552
-26.29481,76,1.517444
-209.822345,82,1.561641
-242.540173,73,1.60086
-50.733201,71,1.639431
-106.654222,95,1.690127
-65.189874,65,1.724858
-107.624595,67,1.761014
-96.061845,79,1.803289
-171.741426,77,2.795873
-139.265537,75,2.836317
-366.160475,89,2.883922
-87.545335,95,2.93505
-65.446442,62,2.968808
-75.980388,70,3.006747
-254.310004,73,3.046671
-86.408699,74,3.087163
-185.08839,56,3.117963
-112.427289,78,3.160722
-204.764887,98,3.214105
-74.148754,78,3.25675
-179.67799,78,3.299407
-133.356518,102,3.355334
-153.53624,118,3.419691
-94.574622,100,3.473848
-158.87139,125,3.542401
-154.239509,95,3.593336
-279.072951,68,3.629836
32.177795,92,3.680408
-145.891624,62,3.714252
-141.008512,89,3.763005
-133.65426,79,3.805174
-129.279294,83,3.851095
-105.067405,110,4.796515
-117.034704,92,4.845473
-198.190684,95,4.895438
-143.198791,83,4.939124
-120.358473,83,4.982746
-25.060439,65,5.016942
-182.301682,92,5.065337
-117.725637,72,5.102931
-326.722199,101,5.155596
-292.086786,158,5.238345
-107.114461,93,5.287368
-190.672342,92,5.335145
-121.206965,66,5.369929
-186.822435,103,5.423022
-220.815796,74,5.462467
-239.757341,99,5.514013
-84.37418,130,5.581557
-74.931455,77,5.621761
-98.244619,58,5.652594
-90.772769,124,5.716755
-102.506007,65,5.751039
-120.581786,86,5.798394
-85.263636,104,5.853053
-78.151756,111,6.731589
-152.853957,83,6.775415
-173.209225,102,6.828832
-82.281981,146,6.905241
-128.083482,73,6.943233
-293.436027,118,7.004928
-134.170779,94,7.054706
-41.590467,87,7.101584
-63.881591,72,7.140289
-23.640748,75,7.180608
-145.796531,104,7.235876
-142.326065,145,7.313756
7.709765,147,7.392204
-241.211075,84,7.436614
-70.239495,106,7.49502
-98.688261,81,7.53836
-41.229799,98,7.59102
-74.015767,111,7.650191
-216.313976,75,7.689982
-124.07422,62,7.723524
-132.266885,77,7.764686
-78.102301,59,8.590477
-42.218096,101,8.643497
-116.93629,78,8.686984
-140.940603,74,8.726194
-196.54976,126,8.792907
-97.0401,83,8.836537
-122.152614,94,8.886004
-111.626102,124,8.950527
-78.114893,73,8.989429
-59.197606,91,9.036883
-112.755549,73,9.075639
-86.435076,52,9.103235
-77.504299,77,9.143689
-18.579344,152,9.222794
-87.265391,128,9.289434
-78.646468,67,9.324605
-128.297343,68,9.360785
-132.20607,102,9.413908
-147.983786,82,9.456752
-151.433808,99,9.509036
-175.400396,107,9.577822
-174.345759,85,9.622362
-212.190186,133,10.492079
-23.897818,129,10.559542
-263.61304,116,10.620023
-55.421456,75,10.659174
-244.088179,125,10.724425
-214.094389,107,10.780727
-89.060263,66,10.815354
-156.214725,139,10.887549
-212.428351,122,10.951525
-410.527592,125,11.017864
-108.674738,82,11.06103
-226.561786,143,11.135213
-172.470722,184,11.230904
-158.308929,99,11.282466
-23.601858,98,11.333298
-91.200358,126,11.399187
-144.930542,60,11.430861
-45.290119,130,11.498765
-133.861697,76,12.336115
-79.245068,122,12.402318
-261.457481,134,12.473527
-101.212187,148,12.551916
-340.583999,111,12.610953
-165.495762,95,12.660793
-10.453507,83,12.705358
-267.525809,134,12.776307
-21.610723,79,12.818462
-112.143938,85,12.863559
-64.656814,95,12.913977
-49.248893,91,12.96227
-204.064886,142,13.039137
-111.402604,117,13.104147
-263.922531,173,13.196053
-231.601604,80,13.238194
-41.573711,86,13.282842
-131.58105,87,13.327796
-98.576607,99,13.379135
-54.875286,94,14.21691
-137.344448,93,14.266418
-31.019302,165,14.353784
-81.824401,134,14.425437
-32.0799,79,14.467758
-147.043533,84,14.512532
-109.659062,63,14.546451
-54.193605,125,14.61297
-172.140138,104,14.66781
-222.027476,151,14.749328
-113.77549,70,14.786579
-57.3773,97,14.837292
-135.590645,142,14.913244
-1.370208,78,14.954168
-122.649551,112,15.0142
-0.065447,98,15.065876
-87.211219,87,15.112504
-32.049823,84,15.157116
-70.02689,84,15.201685
-52.801746,92,15.250467
-91.353815,92,16.093152
-41.513144,163,16.178032
-78.961708,89,16.224993
-43.505463,102,16.278224
-82.193703,120,16.341136
-99.995046,113,16.400472
-170.956831,128,16.466737
-153.092694,80,16.508769
-82.219951,84,16.552678
22.359585,128,16.619324
-84.444092,109,16.676378
