sweep-v2/TerminationRate,TotalEnvSteps,peg-insert-side-v2/MinReturn,pick-place-v2/SuccessRate,peg-insert-side-v2/AverageReturn,pick-place-v2/StdReturn,MetaTest/door-close-v2/NumEpisodes,button-press-topdown-v2/MinReturn,MetaTest/shelf-place-v2/SuccessRate,sweep-v2/AverageDiscountedReturn,MetaTest/lever-pull-v2/MaxReturn,MetaTest/sweep-into-v2/StdReturn,peg-insert-side-v2/SuccessRate,sweep-v2/AverageReturn,MetaTest/lever-pull-v2/StdReturn,peg-insert-side-v2/MaxReturn,window-open-v2/TerminationRate,Average/MaxReturn,MetaTest/shelf-place-v2/StdReturn,Average/AverageReturn,MetaTest/lever-pull-v2/SuccessRate,MetaTest/drawer-open-v2/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/sweep-into-v2/AverageReturn,MetaTest/drawer-open-v2/Iteration,door-open-v2/TerminationRate,MetaTest/Average/TerminationRate,push-v2/MaxReturn,peg-insert-side-v2/StdReturn,MetaTest/door-close-v2/MinReturn,MetaTest/door-close-v2/AverageDiscountedReturn,MetaTest/drawer-open-v2/SuccessRate,MetaTest/door-close-v2/MaxReturn,MetaTest/lever-pull-v2/NumEpisodes,door-open-v2/MinReturn,button-press-topdown-v2/AverageDiscountedReturn,MetaTest/sweep-into-v2/SuccessRate,MetaTest/door-close-v2/StdReturn,MetaTest/Average/MinReturn,drawer-close-v2/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/lever-pull-v2/TerminationRate,MetaTest/drawer-open-v2/MinReturn,policy/dLoss,button-press-topdown-v2/AverageReturn,sweep-v2/NumEpisodes,push-v2/StdReturn,door-open-v2/NumEpisodes,pick-place-v2/MinReturn,basketball-v2/NumEpisodes,basketball-v2/MaxReturn,door-open-v2/AverageDiscountedReturn,MetaTest/shelf-place-v2/NumEpisodes,MetaTest/door-close-v2/AverageReturn,basketball-v2/MinReturn,peg-insert-side-v2/NumEpisodes,MetaTest/drawer-open-v2/MaxReturn,basketball-v2/AverageDiscountedReturn,basketball-v2/SuccessRate,window-open-v2/MaxReturn,push-v2/AverageDiscountedReturn,Average/MinReturn,MetaTest/shelf-place-v2/MinReturn,MetaTest/sweep-into-v2/AverageDiscountedReturn,policy/LossAfter,MetaTest/drawer-open-v2/AverageDiscountedReturn,MetaTest/drawer-open-v2/TerminationRate,MetaTest/shelf-place-v2/AverageReturn,MetaTest/Average/AverageReturn,reach-v2/AverageDiscountedReturn,policy/KLBefore,peg-insert-side-v2/Iteration,door-open-v2/AverageReturn,MetaTest/door-close-v2/Iteration,Average/SuccessRate,MetaTest/lever-pull-v2/MinReturn,reach-v2/NumEpisodes,MetaTest/drawer-open-v2/AverageReturn,sweep-v2/SuccessRate,MetaTest/door-close-v2/SuccessRate,drawer-close-v2/SuccessRate,sweep-v2/Iteration,MetaTest/Average/MaxReturn,door-open-v2/MaxReturn,Average/AverageDiscountedReturn,policy/KL,sweep-v2/MaxReturn,drawer-close-v2/MinReturn,push-v2/AverageReturn,pick-place-v2/Iteration,drawer-close-v2/AverageReturn,window-open-v2/StdReturn,MetaTest/Average/SuccessRate,basketball-v2/TerminationRate,button-press-topdown-v2/Iteration,Average/NumEpisodes,sweep-v2/MinReturn,pick-place-v2/TerminationRate,button-press-topdown-v2/SuccessRate,MetaTest/door-close-v2/TerminationRate,MetaTest/shelf-place-v2/Iteration,door-open-v2/StdReturn,MetaTest/sweep-into-v2/TerminationRate,window-open-v2/AverageReturn,push-v2/TerminationRate,window-open-v2/MinReturn,pick-place-v2/AverageReturn,push-v2/SuccessRate,MetaTest/lever-pull-v2/Iteration,drawer-close-v2/Iteration,MetaTest/sweep-into-v2/Iteration,drawer-close-v2/MaxReturn,peg-insert-side-v2/TerminationRate,MetaTest/shelf-place-v2/MaxReturn,drawer-close-v2/StdReturn,pick-place-v2/AverageDiscountedReturn,reach-v2/TerminationRate,Average/StdReturn,MetaTest/sweep-into-v2/MinReturn,push-v2/Iteration,MetaTest/Average/Iteration,pick-place-v2/NumEpisodes,drawer-close-v2/AverageDiscountedReturn,button-press-topdown-v2/StdReturn,basketball-v2/Iteration,MetaTest/sweep-into-v2/MaxReturn,door-open-v2/Iteration,MetaTest/drawer-open-v2/StdReturn,button-press-topdown-v2/NumEpisodes,reach-v2/StdReturn,push-v2/NumEpisodes,policy/Entropy,reach-v2/MinReturn,MetaTest/shelf-place-v2/TerminationRate,button-press-topdown-v2/MaxReturn,window-open-v2/SuccessRate,reach-v2/AverageReturn,pick-place-v2/MaxReturn,button-press-topdown-v2/TerminationRate,reach-v2/MaxReturn,peg-insert-side-v2/AverageDiscountedReturn,basketball-v2/StdReturn,window-open-v2/Iteration,reach-v2/SuccessRate,window-open-v2/AverageDiscountedReturn,MetaTest/lever-pull-v2/AverageReturn,MetaTest/shelf-place-v2/AverageDiscountedReturn,door-open-v2/SuccessRate,MetaTest/Average/NumEpisodes,policy/LossBefore,basketball-v2/AverageReturn,LinearFeatureBaseline/ExplainedVariance,Average/TerminationRate,drawer-close-v2/NumEpisodes,reach-v2/Iteration,Average/Iteration,window-open-v2/NumEpisodes,MetaTest/sweep-into-v2/NumEpisodes,push-v2/MinReturn,sweep-v2/StdReturn,MetaTest/lever-pull-v2/AverageDiscountedReturn
0.0,50000,4.035694280087195,0.0,4.774291563959348,0.2545030002534988,50,44.701247606448284,0.0,7.075752329866008,334.60627830968406,3.8613168431435283,0.0,24.739593764932422,77.84514237844229,6.50324242215547,0.0,4823.979629060004,0.0,111.26068143179634,0.0,50,363.1711456227845,9.64278975063748,0,0.0,0.0,5.954375682633637,0.7007164927099381,169.15452262174713,809.1750337068896,0.0,1735.807077664594,50,177.1267552149149,17.56585819588575,0.0,445.56581138592094,0.0,0.0,268.4665145392021,0.0,360.0333403465634,0.07478716,50.24258855422168,10,0.6672636673187298,10,1.2715575141722413,10,4.324970800852059,39.83653980051591,50,809.1750337068896,2.6578212080110717,10,381.21809932514054,1.3510493304992166,0.0,183.14163371670102,2.1295921002762848,1.2715575141722413,0.0,9.642789750637482,-0.043402597,369.7258727209687,0.0,0.0,268.4665145392021,66.61789440012772,0.0,0,182.08268919910245,0,0.02,36.43228458566798,10,369.7258727209687,0.0,0.0,0.2,0,1735.807077664594,188.16977284369904,30.26062817460841,0.0064551085,26.93929903265007,2.5146364889327186,4.5795020764465555,0,544.8163415458894,12.800361492560171,0.0,0.0,0,100,22.681860360212198,0.0,0.0,0.0,0,3.6628594974500768,0.0,157.48753721720658,0.0,136.16141446833686,1.733268823584734,0.0,0,0,0,4823.979629060004,0.0,0.0,1437.0576581915034,0.7695243386635704,0.0,481.5953298826789,3.8853498905531567,0,0,10,127.96723830016035,3.3501948467645826,0,19.3570619917407,0,5.350318193088084,10,23.128302523791838,10,5.6708837,110.75017933858263,0.0,57.633549095396475,0.0,138.90039520590054,2.196164625896912,0.0,176.2584825781694,1.2327915055060583,0.5424969300793214,0,0.0,38.060041444583234,153.78887651751467,0.0,0.0,250,0.031384565,3.2506063667198206,0.7383281298646831,0.0,10,0,0,10,50,3.744015464787271,1.5153405670512778,153.78887651751467
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,150000,2.2830766301471073,0.0,2.8921091802155874,0.263357418215765,,42.304223247904176,,5.592053422922533,,,0.0,18.172335422974406,,3.5857303254735142,0.0,4446.097341629306,,106.58430153021531,,,,,,0.0,,12.68227860832125,0.4099502110706321,,,,,,181.65909172492314,17.007661695357676,,,,0.0,,,,0.07782204,48.19150508676235,10,1.9771341372470121,10,1.492552794201286,10,5.557349821557429,45.48304349919317,,,3.4184042072822667,10,,1.8323957786690943,0.0,185.26965158810765,3.0291674446553065,1.03062533646252,,,-0.084074646,,,,,77.54620898293668,0.0,1,190.75011616629166,,0.01,,10,,0.0,,0.1,1,,226.12500489157622,25.604893355995454,0.0049282834,20.48301892611347,1.03062533646252,6.992743591563543,1,455.0412921222266,11.847690151844471,,0.0,1,100,16.322305641341693,0.0,0.0,,,12.262073254573217,,163.75391135797483,0.0,148.5595146320983,1.8571129506492035,0.0,,1,,4446.097341629306,0.0,,1330.3600628724334,0.746479836934318,0.0,442.718662458037,,1,,10,64.99310524503417,4.758848971346489,1,,1,,10,17.945373119622552,10,5.674484,142.07857239413775,,57.633598822381394,0.0,173.49953591188182,2.302792348669005,0.0,196.27388822382227,1.1549346959435218,0.6678158749695663,1,0.0,38.66388295830807,,,0.0,,-0.0062526125,4.692353511613024,0.8148122661272756,0.0,10,1,1,10,,5.3129934232457785,1.172205200027052,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,250000,1.7795683761180412,0.0,2.1879819959189812,0.43092905312527624,,50.37757805586286,,7.2509661893389765,,,0.0,21.349947336070716,,2.6868457598977487,0.0,4663.80867360523,,111.31084672572081,,,,,,0.0,,5.9676088576569235,0.2853639904720467,,,,,,179.42847360173434,19.120513008172644,,,,0.0,,,,0.050030887,59.0945992567275,10,0.5411132490456786,10,1.788034320019368,10,4.579089703414529,42.88153974204818,,,3.018478374506989,10,,1.4083996966731527,0.0,191.00643743789922,1.9443847640624004,1.2331887583049785,,,-0.20059526,,,,,78.28653042709963,0.0,2,188.10194684654002,,0.01,,10,,0.0,,0.1,2,,200.3182499763092,26.679621407817844,0.0044895476,23.71389587057088,1.2331887583049785,4.8355595003977685,2,471.4808898181376,11.644121487890594,,0.0,2,100,18.972252481219442,0.0,0.0,,,6.579071120815599,,166.48662107251994,0.0,153.67878936976453,2.7074871926648916,0.0,,2,,4663.80867360523,0.0,,1397.4468989936208,0.9705479247725772,0.0,464.3965308480723,,2,,10,75.03106557204353,6.729448907266532,2,,2,,10,27.936644442871376,10,5.6797867,148.76078714626263,,74.09851064727225,0.0,193.0910269010098,3.377624380370652,0.0,240.25173037258426,0.8815963597318376,0.46900152487823,2,0.0,39.0206703942355,,,0.0,,-0.15056437,3.772407337220688,0.8655663490644983,0.0,10,2,2,10,,4.011609077286003,1.7213361266459866,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,350000,4.870703975652565,0.0,5.788494279651995,0.32810436638823676,,68.99756135236683,,6.477876145195813,,,0.0,21.526433749745742,,7.47524176966785,0.0,4852.9412402067455,,125.96622621694215,,,,,,0.0,,5.867403449926708,0.8804489786913446,,,,,,182.37099012786302,22.361036218771908,,,,0.0,,,,0.07067283,76.10216286839093,10,0.7715106780385014,10,1.3185978230916946,10,8.88149560076321,45.972449096283874,,,3.2768606616723073,10,,1.9490850295525473,0.0,187.54846653268007,2.2125545611007413,1.0276088060515691,,,-0.07529209,,,,,91.70976259874413,0.0,3,198.6334934519374,,0.01,,10,,0.0,,0.1,3,,230.07603351282037,30.078002264468147,0.006445961,24.7643235965801,1.0276088060515691,4.8631043815220005,3,490.3406541872291,19.31668223611228,,0.0,3,100,18.822199676186273,0.0,0.0,,,17.974004150153245,,164.2220601817989,0.0,120.92832284999912,1.9322806434237212,0.0,,3,,4852.9412402067455,0.0,,1454.2044570669034,0.7909172078236418,0.0,485.5840732429659,,3,,10,89.81086281084879,8.411677241722705,3,,3,,10,55.63652643432075,10,5.675895,224.21692502993966,,98.72960752918954,0.0,291.22859229692745,2.6720250024986676,0.0,412.8514655935753,1.5642553146362448,1.5268485089458377,3,0.0,37.931223661723784,,,0.0,,-0.004619258,5.02498612879444,0.8013550478112299,0.0,10,3,3,10,,3.8458127240442344,1.9405025419775366,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,450000,2.708385905945549,0.0,3.7567727827278423,0.3008459554393885,,45.704308019786524,,5.937245215024575,,,0.0,20.382327262395986,,4.6267311233026405,0.0,218.68670209439202,,64.23709729309985,,,,,,0.0,,5.92171624139638,0.5544305355740291,,,,,,182.611207571911,19.404642805780405,,,,0.0,,,,0.004780859,59.40365131524412,10,0.5910147721127766,10,1.6426424293649533,10,5.599990773601792,42.38426942166377,,,3.1368285414214214,10,,1.6382485288081603,0.0,180.89213684589657,2.0198485635693446,1.6426424293649533,,,0.0007519336,,,,,72.07997640238331,0.0,4,190.65650840938946,,0.0,,10,,0.0,,0.0,4,,216.84193715030332,18.90836942576012,0.0055786977,28.240727104029528,2.2667220898505236,4.542853912183,4,4.6696686232266,12.260313713216071,,0.0,4,100,15.367063727487993,0.0,0.0,,,9.744654893688777,,164.88780683159573,0.0,139.43783506000847,2.0741115557396954,0.0,,4,,7.550047041686448,0.0,,1.7564992901601777,0.7322298923418877,0.0,78.97551245605172,,4,,10,4.128744978154897,8.43482029634353,4,,4,,10,20.937571763719028,10,5.6701274,149.78604558294055,,74.12566747054741,0.0,187.89196416365306,2.5882762212816077,0.0,218.68670209439202,1.495340373287913,0.7243032919136587,4,0.0,39.26314807658697,,,0.0,,0.005532793,4.105308074843096,0.8488054092658002,0.0,10,4,4,10,,3.6832872111438046,3.6020978046809637,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
