#{"t_start": 1737969128.1566408, "env_id": "LunarLanderTargetPos"}
r,l,t
-295.856871,81,11.230075
-362.660308,107,11.287887
-286.711709,92,11.340537
-336.020513,63,11.375158
-235.072297,64,11.41304
-266.619156,56,11.444242
-604.015322,102,11.501202
-281.653461,111,11.567299
-260.114905,54,11.598029
-235.61538,87,11.64963
-394.012742,89,11.700227
-351.936122,47,11.729033
-500.50517,97,12.029629
-504.031811,120,12.096269
-225.325658,112,12.15624
-233.943853,57,12.18689
-372.504393,98,12.241848
-262.178997,50,12.269217
-300.274544,102,12.326456
-230.832029,80,12.369187
-247.029224,48,12.395251
-635.584715,120,12.463659
-299.004974,87,12.512652
-319.18103,97,12.571488
-199.860684,82,14.47018
-307.173485,106,14.529756
-309.699337,98,14.583467
-212.849043,55,14.61369
-319.986127,99,14.67024
-225.98741,49,14.697451
-462.504647,104,14.756326
-294.816439,71,14.794894
-245.889912,71,14.833618
-329.354558,99,14.889067
-413.465763,93,14.941964
-525.022068,91,15.005388
-263.495155,98,15.061444
-296.866258,69,15.099291
-305.797166,89,15.150681
-357.992783,97,15.204981
-251.168006,113,15.268732
-208.147728,67,15.30504
-485.32314,117,15.370033
-412.103493,68,15.407187
-416.828449,57,15.438258
-265.216755,94,15.491102
-237.217829,56,15.521462
-355.223832,85,15.575931
-215.747179,119,16.470181
-363.535534,116,16.534163
-234.830242,71,16.572199
-224.950305,136,16.646722
-141.041712,63,16.682788
-250.467455,95,16.733344
-534.451999,83,16.779887
-309.18424,92,16.828967
-218.056078,123,16.897163
-272.868911,71,16.94907
-250.69778,57,16.979738
-309.917154,116,17.043819
-270.395709,117,17.110102
-260.658437,58,17.141258
-446.015217,122,17.20776
-322.923825,54,17.239116
-241.941525,57,17.270332
-387.603252,105,17.329515
-194.552427,71,17.368752
-192.733727,98,17.422623
-238.839011,125,17.487802
-144.059276,85,17.547091
-298.10388,93,18.462524
-331.300756,97,18.514608
-268.608815,83,18.560754
-185.560798,133,18.633037
-181.589899,161,18.718446
-191.339824,114,18.780856
-348.52316,119,18.846081
-254.306628,73,18.885107
-362.972536,107,18.957451
-214.924651,69,18.994413
-251.475695,62,19.027867
-243.26511,71,19.068045
-230.620306,112,19.127161
-368.016213,57,19.159857
-248.126023,54,19.188532
-333.940509,83,19.232186
-212.981478,95,19.28526
-231.329079,79,19.327484
-323.587802,118,19.3943
-504.398475,99,19.449516
-226.789701,73,19.501598
-357.772163,122,19.569979
-262.852168,97,20.499382
-325.830722,145,20.57889
-153.659945,91,20.627952
-442.489,117,20.692672
-208.382366,87,20.7396
-282.445289,98,20.794353
-167.475623,75,20.834625
-332.264986,133,20.90783
-303.593995,204,21.030063
-457.72706,125,21.098877
-392.496884,91,21.147738
-240.028101,64,21.184555
-495.731719,147,21.26285
-226.19037,89,21.312677
-326.826007,140,21.389669
-213.646231,58,21.421219
-131.892177,109,21.493331
-332.738731,87,21.540259
-310.22648,84,21.586927
-401.769722,130,22.513192
-279.958709,112,22.572027
-433.687276,103,22.628307
-298.952615,109,22.685617
-185.490212,57,22.717943
-368.945887,116,22.778954
-435.551479,114,22.840942
-760.084184,136,22.928524
-229.678605,63,22.962103
-323.968575,112,23.022767
-241.127242,82,23.066063
-376.905846,113,23.128027
-212.018733,136,23.199694
-261.23895,77,23.242524
-202.112901,90,23.290118
-291.279798,153,23.373686
-233.676253,96,23.426317
-259.440117,124,23.499136
-343.328993,197,24.462211
-156.037905,109,24.520559
-472.066145,298,24.683258
-177.852287,178,24.78168
-178.245676,126,24.865715
