#{"t_start": 1738147265.808163, "env_id": "LunarLanderTargetPos"}
r,l,t
-82.050561,112,3.230053
-43.024944,63,4.538827
-130.643959,88,6.350583
-514.369326,123,8.86465
-92.127845,55,10.015625
-215.653846,87,11.816411
-69.444556,104,13.95415
-36.389087,73,15.459374
-288.242083,70,16.907426
-281.732862,117,19.309911
-63.405485,80,20.961513
-113.27536,51,22.022174
-311.065832,86,23.802509
-247.347541,88,25.61478
-118.041178,72,27.104182
-311.231371,70,28.549093
-128.932966,86,30.320246
-72.927619,62,31.606859
-59.161782,64,32.931876
-33.351168,63,34.237732
-185.173015,119,36.669205
-451.96751,80,38.315437
-75.497668,97,40.305981
-304.873068,89,42.139878
-103.240011,68,44.382321
-81.904645,71,45.854573
-38.938703,64,47.184649
-191.317057,118,49.590352
-155.14177,61,50.858496
-274.237943,109,53.099191
-120.186331,83,54.808765
-93.881541,79,56.442159
-193.122804,78,58.05274
-270.264026,112,60.345611
-311.415008,104,62.476488
-74.530143,68,63.886912
-115.253436,66,65.253814
-89.240714,65,66.60672
-285.908972,74,68.135798
-146.299954,60,69.380187
-236.600078,66,70.745534
-467.606827,145,73.705818
-131.55422,109,75.939049
-127.623971,65,77.285995
-130.676448,69,78.712497
-74.239794,102,80.802105
-97.731726,94,82.729495
-136.293263,51,83.792623
-130.667057,88,85.598178
-140.144409,62,87.730133
-130.856981,128,90.339401
26.133963,163,93.656635
-115.939791,98,95.664984
-154.09472,120,98.11614
-270.76487,100,100.163301
-93.594056,95,102.120631
-10.622219,97,104.111447
-86.163665,124,106.63698
-382.706744,131,109.319392
-77.737889,124,111.862586
-120.75594,75,113.408873
-25.554016,69,114.836707
-112.876156,56,116.00414
-34.555533,91,117.877632
-158.179991,81,119.546166
-126.020376,72,121.043089
-341.53022,93,122.955707
-141.08753,54,124.078607
-190.814517,64,125.404255
-241.605176,108,127.615356
-106.037019,76,130.023851
-156.687807,114,132.354001
-103.310992,108,134.563719
-104.940818,101,136.643039
-84.398073,93,138.555858
-263.038865,115,140.907252
-129.721548,81,142.589043
-73.701737,153,145.713302
-229.417243,91,147.582114
-191.557495,125,150.133636
-89.805021,73,151.6389
-45.047295,78,153.248439
-37.804428,153,156.373933
-110.816987,87,158.163388
-86.530996,87,159.951264
-75.703368,57,161.133211
-90.209802,120,163.583983
-228.321967,128,166.194499
-145.972745,74,167.719996
-137.274569,110,169.984438
-63.153354,72,171.468586
