#{"t_start": 1734361738.4928007, "env_id": "LunarLanderTargetPos"}
r,l,t
-518.058392,95,0.784391
-271.330549,76,0.825804
-285.676279,80,0.871428
-298.389297,95,0.922889
-305.570484,120,0.990397
-241.699102,102,1.047393
-235.788178,67,1.084541
-308.172715,58,1.115668
-272.743691,94,1.170909
-211.447329,54,1.201095
-216.638812,67,1.238392
-527.059782,79,1.284655
-477.16764,106,1.356888
-588.86127,91,1.404735
-227.68941,72,1.443325
-323.453846,105,1.501253
-634.095152,112,1.563387
-283.555766,85,1.608364
-559.151859,122,1.674995
-272.942242,56,1.704942
-253.620916,72,1.743178
-326.725939,104,1.80062
-225.333908,116,1.869642
-316.107424,74,2.71545
-258.689799,66,2.750749
-402.302986,109,2.8119
-363.932473,96,2.862331
-324.623203,118,2.928385
-238.629353,128,2.998307
-215.304983,64,3.032512
-197.139604,101,3.087695
-232.561906,48,3.113485
-191.351705,77,3.153879
-362.009892,87,3.202319
-275.329688,82,3.251369
-424.208345,77,3.294833
-248.077168,109,3.352362
-212.734778,117,3.415978
-226.952417,101,3.4693
-166.345143,87,3.517261
-606.334389,144,3.596252
-333.710698,93,3.645189
-287.93568,64,3.679015
-239.296071,61,3.714629
-279.66871,121,3.784214
-193.181994,49,4.630978
-293.92247,75,4.670857
-520.695569,139,4.746027
-179.254041,80,4.788362
-234.015899,77,4.832265
-308.634464,146,4.912976
-363.656548,108,4.978238
-190.449648,61,5.01205
-209.240463,54,5.044235
-307.246078,81,5.088852
-501.131148,128,5.163656
-250.519245,76,5.204183
-307.9072,104,5.260951
-283.578087,58,5.292217
-298.351285,85,5.338938
-338.208332,121,5.402194
-239.632641,60,5.436095
-328.306451,101,5.489608
-531.39147,102,5.545817
-287.708327,76,5.5867
-214.388503,85,5.631509
-318.989781,63,5.666908
-290.549394,100,5.725511
-400.756635,104,6.575171
-409.006285,154,6.655382
-245.875201,155,6.738802
-247.656327,73,6.779553
-396.36505,95,6.829787
-201.876795,50,6.856008
-358.163619,141,6.934564
-231.37424,91,6.989795
-284.206856,87,7.042109
-390.593957,88,7.091032
-366.192906,206,7.203279
-457.999961,149,7.284062
-204.999876,74,7.323102
-338.131833,88,7.369706
-298.606774,123,7.437169
-182.741092,76,7.479788
-186.736216,61,7.512365
-180.491932,63,7.546094
-184.819905,62,7.587177
-413.230558,214,8.502547
-260.269486,79,8.546563
-297.341474,84,8.591202
-478.934735,131,8.662357
-465.221475,108,8.719153
-399.141723,184,8.817927
-385.622986,129,8.888259
-691.534851,189,8.999781
-253.64414,69,9.038794
-262.933993,64,9.074682
-309.901449,85,9.120908
-257.661029,120,9.186967
-170.156251,125,9.254895
-215.761031,106,9.310585
-311.543306,133,9.383598
-510.870824,144,9.461292
-268.045382,126,9.536557
-450.788856,140,10.4192
-352.79178,116,10.483347
-550.326258,169,10.573641
-395.193768,91,10.621702
-248.955899,74,10.660117
-189.394376,79,10.704055
-479.001358,266,10.850864
-194.423264,107,10.908998
-503.672199,244,11.042219
-131.492276,121,11.116184
-223.67991,68,11.15393
-137.498225,170,11.245322
-425.077343,140,11.321808
-274.075596,109,11.38671
-142.815927,73,11.426354
-203.599698,152,11.508947
-302.45851,101,12.376411
-453.277087,271,12.524962
-200.789387,74,12.565317
-306.617573,104,12.623521
-410.794673,120,12.688727
-466.342271,182,12.795571
-351.390411,219,12.919422
-509.46767,146,12.998693
-181.668799,154,13.08223
-317.176187,129,13.154961
-106.168739,100,13.208966
-255.85068,162,13.297877
-265.369979,111,13.36725
-244.678515,101,13.4214
-479.143256,111,13.484394
-273.324992,342,14.496235
-663.650783,342,14.680394
-374.041241,121,14.751689
-414.52813,220,14.872773
-166.052206,228,14.994682
-175.577811,73,15.034388
-745.834108,259,15.177506
-237.028915,83,15.224072
-319.330916,128,15.304487
-420.758226,190,15.410458
-414.27875,214,16.343502
-487.293395,171,16.435952
-551.610375,239,16.563614
-232.315131,122,16.637174
-229.258334,91,16.685075
-317.793005,144,16.764131
-720.959637,208,16.875663
-588.185605,149,16.954875
-367.377092,209,17.069403
-211.904449,131,17.143569
-178.841813,148,17.230153
-760.781863,311,18.199657
-524.978272,153,18.2863
-410.298753,271,18.431695
-378.11354,190,18.543377
-1414.798378,35394,52.461293
-190.70471,129,52.530876
-932.686339,296,52.691557
-357.600791,132,52.76839
-440.292027,132,52.840373
-598.717481,118,52.90699
-564.739284,208,53.829911
-90.792385,96,53.884552
-208.332066,132,53.956576
-426.733657,267,54.105084
-513.895253,280,54.259597
-309.091285,169,54.349798
-537.873325,249,54.483766
-502.595899,136,54.556669
-678.958654,310,54.728847
-514.085482,136,54.801982
-233.388635,135,55.686469
-223.26093,180,55.785831
-416.399215,154,55.875494
-169.52951,117,55.9405
-281.455597,197,56.052999
-521.024986,258,56.193828
-357.452108,257,56.331451
-363.236139,119,56.394149
-615.299837,328,56.571747
