#{"t_start": 1738145068.802269, "env_id": "LunarLanderTargetPos"}
r,l,t
-84.922561,67,0.907935
-241.56045,121,0.974956
-395.040583,82,1.020673
-260.307716,52,1.049685
-256.933144,109,1.109301
-343.332892,119,1.174504
-160.071479,107,1.23337
-89.616047,62,1.267376
-162.558329,77,1.309489
-168.112061,61,1.345174
49.024278,95,1.397677
-178.602265,78,1.442537
-38.067228,67,1.480302
-240.947576,65,1.516546
-81.624093,72,1.557398
-113.041431,103,1.613707
-63.761225,119,1.678087
-109.435909,72,1.718445
-179.85779,69,1.757284
-255.710505,80,1.799501
-188.360181,58,1.83308
-137.697337,81,1.877899
-97.33666,60,1.911319
-266.3477,87,1.95957
-120.923546,59,1.992673
-123.786723,133,3.29881
-61.023413,72,3.33849
-216.992847,88,3.386221
-123.02423,82,3.431369
-150.542975,127,3.499914
-117.869998,69,3.537423
-94.268429,62,3.570552
-270.510851,92,3.619638
-169.964339,65,3.654964
-282.160495,87,3.70189
-81.582235,102,3.756342
-70.932072,119,3.819376
-150.848684,76,3.860456
-110.38054,63,3.894172
-249.36759,97,3.945688
-83.050475,63,3.9794
-236.237233,131,4.049293
-63.489751,79,4.091444
-205.826321,76,4.131597
-258.7097,115,4.192998
-133.507897,66,4.228507
-131.529227,79,4.271032
-108.748336,66,4.306196
-360.413316,111,5.233248
-133.000323,110,5.292543
-73.937256,94,5.343096
-135.022248,91,5.391202
-321.821417,101,5.445376
-65.057395,62,5.480795
-149.034829,54,5.511549
-305.018436,85,5.559293
-127.791446,103,5.616077
-102.618427,90,5.666798
-80.881975,68,5.703395
-82.512308,91,5.75289
-148.309685,80,5.795909
-30.261508,80,5.839417
-163.619719,63,5.873645
-137.799638,52,5.901714
-190.430412,79,5.944714
-109.923015,120,6.008362
-217.564527,97,6.06308
-351.299795,133,6.134306
-167.452461,92,6.184366
-328.37795,109,6.243124
-175.228308,90,6.29152
-205.681065,88,7.171236
-92.957041,56,7.20203
-125.095058,67,7.238249
-140.975517,62,7.272413
-64.01848,150,7.353215
-182.53234,114,7.414174
-277.092261,111,7.474347
-102.778371,94,7.524903
-81.530929,112,7.586968
-50.182884,75,7.627972
-175.512388,127,7.697511
-191.877352,134,7.770481
-91.655163,58,7.801899
-299.10023,122,7.867523
-133.160827,77,7.908963
-151.750709,107,7.96611
-185.37993,76,8.006313
-114.16364,121,8.071208
-147.509107,85,8.116566
-93.952729,80,8.159724
-66.190823,70,8.197361
-181.006816,85,8.243007
-252.809087,127,9.143195
-198.560201,130,9.214148
-59.328101,162,9.301946
-126.20208,125,9.369447
-41.429054,173,9.464204
-103.127776,79,9.506906
-156.660492,98,9.559796
-55.73093,143,9.63664
-337.124862,164,9.725438
-125.267632,109,9.783736
-64.709219,163,9.874427
-94.550658,71,9.914423
-93.431278,79,9.958571
-279.126685,168,10.049304
-118.556447,84,10.344195
-68.768676,100,10.399673
-322.952828,139,11.305034
-185.189578,147,11.384638
-109.122924,140,11.460606
-57.55047,122,11.527398
-41.850229,80,11.57092
-266.024704,126,11.639763
-87.191059,151,11.725382
-238.5607,145,11.806492
-43.641496,82,11.853382
-99.94859,117,11.916666
-46.000173,170,12.007498
