#{"t_start": 1734362520.6456068, "env_id": "LunarLanderTargetPos"}
r,l,t
-185.637433,70,0.768819
-290.855133,61,0.802019
-354.352646,117,0.868251
-373.071026,70,0.907552
-278.638481,63,0.945741
-287.875502,63,0.980825
-214.045605,56,1.012343
-240.240299,102,1.072981
-219.479092,50,1.100602
-289.316154,59,1.13324
-280.592395,99,1.189064
-322.68165,67,1.225675
-595.357639,103,1.284331
-341.254003,96,1.350235
-288.311945,69,1.386965
-284.179139,50,1.41348
-286.977444,57,1.449153
-305.087581,122,1.513644
-314.566292,68,1.551569
-260.299862,50,1.578234
-251.998888,53,1.606204
-273.987243,102,1.662192
-301.896943,58,1.693195
-283.122095,58,1.724552
-222.865515,53,1.754996
-301.311894,90,1.801633
-273.892367,98,1.864834
-157.665567,55,2.687019
-246.908511,67,2.724775
-564.252529,93,2.777144
-273.899804,135,2.849398
-247.204276,66,2.886638
-279.826147,88,2.935193
-284.000857,128,3.0047
-462.981512,112,3.063955
-317.829737,74,3.106038
-571.83542,101,3.159197
-284.41672,67,3.196908
-331.714351,66,3.238009
-320.862515,108,3.298178
-158.394991,89,3.346151
-333.864829,111,3.406931
-346.41843,69,3.443963
-274.283203,78,3.489211
-377.988329,83,3.53334
-421.270134,118,3.597819
-229.737838,52,3.625461
-223.122794,59,3.657247
-333.228697,71,3.697124
-360.045439,78,3.737992
-191.30683,74,3.782707
-261.784613,76,4.627194
-418.783535,128,4.695245
-240.137825,54,4.726899
-413.24975,73,4.766365
-163.62037,80,4.808863
-272.055331,71,4.851525
-453.84541,98,4.903628
-226.846599,76,4.946592
-271.100945,102,5.001336
-206.724357,57,5.034051
-258.659771,107,5.095185
-265.311316,65,5.138342
-283.326835,103,5.192761
-398.004408,136,5.268659
-126.426859,112,5.330056
-534.975765,96,5.3807
-139.010875,110,5.440715
-348.200503,94,5.490264
-221.690922,87,5.548606
-380.676964,137,5.620566
-227.299301,65,5.657568
-306.70134,87,5.709254
-277.571365,112,6.575448
-303.312576,113,6.635514
-275.394593,111,6.696316
-262.721385,63,6.730275
-183.274175,93,6.784294
-278.032986,204,6.896805
-256.272255,61,6.929689
-206.297716,73,6.972606
-412.83918,161,7.063014
-256.935321,70,7.103079
-246.430819,101,7.158204
-253.411793,91,7.208108
-150.306321,71,7.24536
-192.100275,95,7.297747
-345.054793,89,7.344901
-268.533333,77,7.387641
-307.517154,148,7.464564
-395.042814,105,7.521798
-400.232615,112,7.58849
-196.49616,77,7.629546
-334.646445,167,8.521126
-349.004499,124,8.586327
-380.222307,139,8.662888
-290.387859,121,8.729068
-472.708432,113,8.789005
-287.244667,244,8.925606
-389.220624,145,9.013106
-425.487801,98,9.066849
-238.658632,87,9.115622
-161.057728,105,9.172671
-226.520143,140,9.249381
-619.283839,120,9.315429
-260.156402,159,9.400693
-670.783444,200,9.518523
-383.011414,136,9.591585
-357.993844,133,10.462519
-385.020586,125,10.529723
-679.691596,184,10.629986
-292.202844,158,10.717018
-341.300323,120,10.785759
-438.513391,125,10.859793
-250.895,115,10.923162
-200.368617,74,10.965059
-225.2403,127,11.033891
-230.190836,154,11.117742
-219.712469,65,11.154397
-232.2655,104,11.218461
-828.220698,303,11.379756
-1381.510862,31051,42.136782
-260.705877,219,42.254832
-313.410315,107,42.314774
-396.913387,104,42.372986
-340.677697,102,42.427752
-338.968532,107,42.487198
-470.327501,99,42.540571
-460.562135,112,42.602799
-351.474339,152,42.692287
-366.184623,180,42.791711
-366.175503,194,42.897022
-332.847089,96,42.94789
-490.346529,174,43.041849
-254.909924,136,43.115689
-266.12438,171,43.207733
-217.081053,155,44.118803
-208.564293,72,44.157888
-235.290712,94,44.21094
-254.547195,112,44.281042
-436.733702,99,44.337694
-443.930517,93,44.388835
-398.760842,156,44.475976
-251.63313,112,44.539351
-268.179584,72,44.578652
-342.663596,160,44.673131
-285.998086,165,44.765024
-209.213054,92,44.814306
-450.263155,148,44.895458
-268.526195,148,44.977312
-339.376515,198,45.087233
-202.960698,104,45.14494
-315.078759,73,45.19026
-223.576185,94,46.063766
-288.738558,151,46.144048
-396.571864,115,46.20733
-198.859461,141,46.284093
-369.06877,145,46.363257
-373.384595,118,46.426228
-345.495489,108,46.485644
-174.383261,91,46.534378
-215.633798,81,46.587179
-439.576044,173,46.680665
-368.94321,123,46.745557
-382.423309,93,46.801039
-313.278336,85,46.848728
-303.138274,119,46.914503
-245.278397,168,47.009184
-193.230336,100,47.063882
-326.237199,80,47.115764
-176.295039,156,48.007754
-200.690503,112,48.070686
-219.378978,126,48.143365
-169.336471,188,48.245963
-442.613286,104,48.303823
-286.529094,143,48.38154
-210.560798,72,48.422332
-404.217508,102,48.48291
-402.16919,102,48.540417
-340.846571,147,48.621025
-215.545856,100,48.675329
-358.745446,148,48.757191
-244.493559,92,48.806156
-294.213273,150,48.887839
-183.288278,165,48.981556
-185.710963,84,49.036574
-225.652005,117,49.099368
-213.554494,104,49.974645
-371.674985,103,50.029637
69.377051,490,50.30227
-441.440619,226,50.432998
116.212712,338,50.619867
-360.632976,155,50.704818
-258.812396,260,50.845738
-338.494906,97,50.902527
-389.812812,216,51.030482
-472.863618,162,51.930012
-426.692572,243,52.062662
-266.888737,147,52.144101
-240.427235,236,52.27153
-294.548233,267,52.433482
-647.720919,263,52.575416
-412.22372,165,52.663848
-247.410831,162,52.751236
-207.409074,143,52.828819
-213.812922,274,52.984153
-145.695192,170,53.884199
-453.443977,276,54.035002
-312.639048,231,54.157071
-585.484061,178,54.257755
-212.77599,127,54.325999
-413.635252,175,54.420325
-373.272766,167,54.50953
-471.664146,282,54.659996
-507.197461,254,54.802174
-591.458884,238,54.931272
-363.689534,177,55.824093
-245.036006,226,55.945164
-209.335234,141,56.023504
-186.461739,105,56.08254
-413.033925,199,56.196214
-304.039052,118,56.262323
-369.940985,156,56.348465
-960.536787,463,56.599671
-298.167623,212,56.720572
-404.221686,181,56.821056
-237.526246,129,56.892815
-452.607636,285,57.845362
-227.662746,136,57.920007
-612.491339,300,58.094332
-354.804727,413,58.319177
-282.285361,108,58.376152
-748.994409,302,58.542174
-317.689548,123,58.613271
-350.645349,161,58.706146
-209.459222,140,58.783788
-346.010787,150,59.664096
-175.380593,313,59.82972
-218.221696,122,59.896433
-381.011899,157,59.989315
-366.665505,157,60.074888
-507.119126,292,60.230709
-437.171329,269,60.375905
-507.712795,307,60.545198
-448.96394,399,61.610452
-383.081229,167,61.7017
-218.904484,203,61.814537
-343.055238,239,61.953737
-223.997891,139,62.03186
-194.198878,139,62.115556
-438.594732,174,62.212754
-269.172419,196,62.32111
-485.022742,226,62.44385
-249.275822,177,62.554763
-380.221203,189,62.660021
-499.691612,398,63.678712
-348.052809,133,63.752186
-116.574152,331,63.936174
142.937856,317,64.115763
-47.386389,194,64.220355
-163.386955,190,64.323244
-515.718436,360,64.524135
-186.882594,96,64.584042
-458.180415,359,65.581505
-206.792985,258,65.722386
-245.939982,333,65.910122
-225.811765,317,66.087763
-613.20725,343,66.273692
-441.188613,251,66.415606
-230.163404,196,66.521067
-494.532702,170,66.616057
-176.452544,187,67.528684
-2.75227,230,67.659447
-276.511847,177,67.758691
-428.580307,331,67.940095
-259.204789,315,68.113044
-626.594596,372,68.330823
-346.208001,295,68.493177
-396.78435,315,69.460754
-221.868037,135,69.531694
-428.279409,236,69.668362
-384.470061,341,69.856879
-472.543324,168,69.950004
-419.935634,168,70.044333
-485.12561,485,70.318498
-349.441316,403,71.350769
-177.031276,200,71.459901
-42.158936,241,71.596672
-144.241424,278,71.749407
-8.29391,256,71.889794
-211.426571,198,71.997059
-145.889708,330,72.177522
