#{"t_start": 1738146669.1939871, "env_id": "LunarLanderTargetPos"}
r,l,t
-87.269822,58,2.145492
-46.443126,64,3.473715
-57.30277,97,5.458416
-161.214176,82,7.145855
-140.579185,112,9.444213
-120.167592,80,11.091417
-336.57519,123,13.600659
-57.69107,84,15.327244
-250.016213,73,16.83255
-124.125195,103,18.950238
-43.474983,102,21.045529
-53.850946,92,22.939463
-143.894224,71,24.405578
-275.591306,86,26.182263
-109.758188,66,27.550608
-404.131412,113,29.859718
-100.244387,63,31.16715
-141.98275,129,33.797995
-145.958353,64,35.130182
-240.394393,71,36.595363
-115.498378,77,38.179648
-106.024261,157,41.376639
-108.532327,72,42.860429
-202.399187,74,45.276056
-158.989173,67,46.658999
-168.425444,108,48.867027
-52.617635,73,50.375665
