#{"t_start": 1738145128.441183, "env_id": "LunarLanderTargetPos"}
r,l,t
-123.194938,75,0.855819
-67.491446,78,0.898305
-182.492352,72,0.94045
-177.502083,85,0.9863
-276.179748,93,1.040177
-142.071735,81,1.084576
-177.089873,77,1.129514
-70.484985,119,1.193919
-251.628313,75,1.236966
-97.886191,69,1.274798
-160.32661,68,1.31433
-142.192477,83,1.361954
-81.864748,70,1.400477
-267.369689,72,1.441213
-356.006079,99,1.494694
-201.068383,103,1.552649
-129.868558,66,1.588724
-110.167507,85,1.636743
-141.396036,107,1.693976
-176.711599,101,1.750686
-154.972781,99,1.803914
-199.796638,86,1.852641
-124.332585,74,1.892592
-100.326675,86,1.941294
-152.144284,64,2.953286
-141.145824,94,3.007735
-242.886387,102,3.067496
-141.980889,95,3.120493
-151.380767,69,3.159473
-135.22695,56,3.192281
-113.137041,55,3.221908
-108.596766,98,3.276579
-188.392492,101,3.330821
-104.009682,59,3.362762
-128.505272,66,3.400615
-1287.950452,132,3.473427
-134.918997,66,3.509136
-2.282294,92,3.559149
-102.600773,57,3.592826
-130.999203,55,3.623287
-115.068999,66,3.659221
-244.335461,129,3.730601
-198.202006,103,3.788377
-81.215912,78,3.832279
-26.201177,136,3.910232
-141.664787,66,3.947042
-450.97904,79,3.9935
-98.427679,67,4.031315
-225.191834,120,4.924412
38.999168,110,4.984687
-17.794292,67,5.023194
-241.71969,114,5.084821
-89.563611,93,5.137715
-80.444554,57,5.168497
-254.238089,95,5.221184
-228.550459,86,5.267097
-289.951458,115,5.330086
-382.084019,102,5.383915
-124.462922,75,5.426225
-107.734436,87,5.472725
-105.777358,55,5.50214
-113.521813,55,5.533806
-326.404277,94,5.583501
-105.75446,72,5.62404
-163.804979,86,5.669156
-131.919943,66,5.704415
-117.895748,78,5.747987
-87.042479,66,5.784409
-27.244405,121,5.851147
-153.763607,103,5.905932
-58.017551,80,5.950638
-223.050349,77,5.991199
-8.944726,72,6.877624
-102.434431,95,6.929727
-63.24235,65,6.967941
-261.340647,78,7.009634
-82.025742,73,7.052685
-254.442248,128,7.121807
-60.6871,74,7.165589
-38.109965,74,7.206827
-108.173656,95,7.261185
-12.756335,76,7.302602
-106.688517,103,7.360427
-88.409572,86,7.408546
-123.166372,101,7.466494
-154.801371,99,7.521273
-209.518815,91,7.573799
-61.0438,68,7.611751
-144.257751,73,7.651641
-72.155685,66,7.689797
-75.845403,89,7.737629
-95.264818,70,7.777479
-125.510697,130,7.846821
-148.541701,56,7.879904
-103.931701,71,7.919695
-42.882099,114,7.984793
-787.2917,134,8.89295
-24.063915,107,8.951219
-135.562948,81,8.997374
-97.319787,88,9.045449
-70.98299,137,9.120562
-115.67327,87,9.166843
-136.54053,94,9.219746
-74.185247,77,9.260539
-228.204573,130,9.332175
-105.102306,68,9.368521
-54.535748,79,9.413061
-89.637448,98,9.465462
-64.052123,111,9.527116
-150.061459,55,9.556891
-262.736321,116,9.62091
-92.203623,132,9.691452
-94.978026,100,9.74768
-82.833831,70,9.786462
-260.04547,112,9.866904
-287.537638,94,9.919669
-146.618055,104,9.975448
-151.434216,87,10.867819
-101.327501,120,10.935295
-119.235141,109,10.995377
-428.218219,137,11.072829
-71.704905,120,11.139967
-90.049315,83,11.185481
-21.752925,85,11.230747
-119.145417,128,11.302655
-68.969499,75,11.345931
-17.601826,79,11.389351
-131.691038,132,11.463068
-251.430414,103,11.518364
-85.218023,74,11.560364
-36.817058,101,11.614205
-174.263688,117,11.679
-66.917171,85,11.724421
-134.04984,121,11.790442
-258.824868,108,11.847796
-421.473112,145,11.926838
-114.628318,112,12.810675
-67.654852,123,12.878812
-52.456054,139,12.954009
-24.040178,98,13.009098
-63.523109,117,13.071144
-74.649005,129,13.143141
-245.662969,62,13.176211
-80.558769,50,13.206499
-46.653529,70,13.243846
-161.70972,93,13.296079
-308.007788,144,13.372691
-76.721689,76,13.415928
-14.850752,83,13.460322
-44.322968,64,13.497319
-78.668792,76,13.53774
-87.494367,95,13.590725
-273.723685,112,13.650194
-100.891312,118,13.716206
-83.841893,98,13.769459
-90.72548,53,13.800414
-24.746126,86,13.849211
