#{"t_start": 1738147102.0496604, "env_id": "LunarLanderTargetPos"}
r,l,t
13.537052,81,2.570358
-44.346987,59,3.799872
-70.499117,64,5.127899
-30.209878,76,6.707058
-254.047282,86,8.473716
-97.3516,75,10.026889
-40.913732,81,11.690796
-101.635604,56,12.856081
-88.643843,97,14.842369
-318.44987,68,16.248875
-219.638666,79,17.878618
-98.65911,88,19.698926
-227.37743,86,21.463697
-108.61407,74,22.994025
-140.433122,70,24.44013
-128.4515,85,26.188177
-91.293664,64,27.515652
-166.53939,99,29.544317
-111.463954,100,31.594429
-148.736628,81,33.266587
-102.010934,87,35.056277
-164.535853,131,37.739081
-243.392026,114,40.084249
-63.58918,88,41.890615
-103.461974,75,44.416891
-294.273561,118,46.832122
-245.271715,106,49.007835
-55.584246,91,50.886827
-80.111116,78,52.500527
-13.414835,79,54.133703
-85.305024,120,56.587513
-257.882431,130,59.242258
-78.463337,99,61.277056
-106.697971,84,63.008127
-297.669747,122,65.497033
-75.322516,119,67.926643
-357.637645,90,69.775193
-341.747011,105,71.927548
-298.73682,130,74.580881
-114.372152,111,76.861392
-418.068241,126,79.435837
-127.534479,100,81.489043
-251.979011,114,83.829693
-49.291216,168,88.294997
-99.531023,72,89.782739
-32.393715,75,91.327564
-265.357815,71,92.78988
-155.826115,69,94.218832
-61.934783,98,96.230947
-194.219075,89,98.069127
-227.662089,65,99.411133
-337.605892,115,101.76125
-31.170546,73,103.270551
-322.070527,81,104.939843
-101.236022,113,107.250854
-191.813157,77,108.838276
-117.9575,73,110.345077
-82.219896,96,112.30985
-102.295459,136,115.083256
-60.521348,98,117.095139
-201.434469,70,118.537505
-98.807906,97,120.533267
-226.847439,91,122.405301
-149.915331,88,124.210809
-192.491969,57,125.401909
-94.647033,93,127.308259
-61.926511,94,130.216275
-39.713286,86,131.980915
-141.470873,85,133.7286
-24.394628,89,135.557295
-139.652483,58,136.766111
-128.474913,106,138.938964
-142.410427,177,142.545533
-222.460678,100,144.604341
-115.142675,113,146.908495
-153.222086,68,148.316101
-119.317559,97,150.30417
35.198571,138,153.109841
-180.366935,99,155.140496
-93.02259,76,156.72058
-210.585241,68,158.131573
